,year,playername,team,age,g,gs,attempts,yards,tds,longgain,yardsperatt,yardspergame,fumbles,basesalarycap (10^8),Percenthit (%),caphit (M),cashspent (M)
1428,2017,Bilal Powell,NYJ,29,15,10,178,772,5,75,4.3,51.5,1,1.67,2.774450898203593,4.633333,3.75
1429,2016,Bilal Powell,NYJ,28,16,4,131,722,3,35,5.5,45.1,1,1.5527,1.1163347716880272,1.733333,3.5
1430,2015,Bilal Powell,NYJ,27,11,2,70,313,1,24,4.5,28.5,2,1.4328,1.3958682300390843,2.0,2.0
1431,2014,Bilal Powell,NYJ,26,15,1,33,141,1,15,4.3,9.4,0,1.33,1.1512218045112785,1.531125,1.431
1432,2013,Bilal Powell,NYJ,25,16,11,176,697,1,39,4.0,43.6,1,1.23,0.5326219512195122,0.655125,0.555
1433,2012,Bilal Powell,NYJ,24,14,2,110,437,4,18,4.0,31.2,0,1.206,0.4685945273631841,0.565125,0.465
1434,2011,Bilal Powell,NYJ,23,2,0,13,21,0,6,1.6,10.5,1,1.2,0.3959375,0.475125,0.7755
1526,2015,Bishop Sankey,TEN,23,13,3,47,193,1,16,4.1,14.8,2,1.4328,0.6096608040201005,0.873522,0.594704
1527,2014,Bishop Sankey,TEN,22,16,9,152,569,2,22,3.7,35.6,2,1.33,0.525427067669173,0.698818,1.535272
1528,2019,Bo Scarbrough,DET,23,6,5,89,377,1,30,4.2,62.8,1,1.882,0.10830180658873538,0.203824,0.203824
1437,2016,Bobby Rainey,NYG,29,15,0,17,63,0,14,3.7,4.2,1,1.5527,0.4379468023443035,0.68,0.84
1438,2014,Bobby Rainey,TAM,27,15,5,94,406,1,31,4.3,27.1,3,1.33,0.4285714285714286,0.57,0.57
1439,2013,Bobby Rainey,2TM,26,15,6,150,566,5,80,3.8,37.7,1,1.23,0.22955528455284552,0.282353,0.282353
1529,2020,Boston Scott,PHI,25,7,2,33,113,0,13,3.4,16.1,0,1.982,0.3784056508577195,0.75,0.75
1530,2019,Boston Scott,PHI,24,11,2,61,245,5,25,4.0,22.3,4,1.882,0.21379011689691818,0.402353,0.402353
1349,2017,Branden Oliver,LAC,26,8,0,35,83,0,26,2.4,10.4,0,1.67,0.47904191616766467,0.8,0.8
1350,2015,Branden Oliver,SDG,24,8,1,31,108,0,15,3.5,13.5,0,1.4328,0.2905457844779453,0.416294,0.416294
1351,2014,Branden Oliver,SDG,23,14,7,160,582,3,52,3.6,41.6,0,1.33,0.3157894736842105,0.42,0.42
902,2013,Brandon Jacobs,NYG,31,7,1,58,238,4,37,4.1,34.0,1,1.23,0.39067479674796746,0.48053,0.48053
54,2018,C.J. Anderson,2TM,27,11,3,67,403,2,46,6.0,36.6,0,1.772,0.05244977426636569,0.092941,0.092941
55,2017,C.J. Anderson,DEN,26,16,16,245,1007,3,40,4.1,62.9,1,1.67,1.7964071856287425,3.0,3.0
56,2016,C.J. Anderson,DEN,25,7,7,110,437,4,28,4.0,62.4,0,1.5527,3.8642364912732665,6.0,6.0
57,2015,C.J. Anderson,DEN,24,15,6,152,720,5,48,4.7,48.0,2,1.4328,0.4112004466778336,0.589168,0.585
58,2014,C.J. Anderson,DEN,23,15,7,179,849,8,27,4.7,56.6,1,1.33,0.37531278195488715,0.499166,0.495
59,2013,C.J. Anderson,DEN,22,5,0,7,38,0,11,5.4,7.6,0,1.23,0.33265528455284554,0.409166,0.4175
1592,2015,C.J. Spiller,NOR,28,13,2,36,112,0,11,3.1,8.6,1,1.4328,1.3958682300390843,2.0,5.75
1593,2014,C.J. Spiller,BUF,27,9,5,78,300,0,53,3.8,33.3,3,1.33,4.448621052631578,5.916666,3.74875
1594,2013,C.J. Spiller,BUF,26,15,10,202,933,2,77,4.6,62.2,4,1.23,3.0233739837398375,3.71875,1.550834
1595,2012,C.J. Spiller,BUF,25,16,9,207,1244,6,62,6.0,77.8,3,1.206,2.919430348258706,3.520833,1.352917
1596,2011,C.J. Spiller,BUF,24,16,11,107,561,4,38,5.2,35.1,2,1.2,7.208680000000001,8.650416,9.622919
843,2020,Carlos Hyde,SEA,30,4,0,31,125,2,24,4.0,31.3,0,1.982,1.3874873864783048,2.75,2.75
844,2019,Carlos Hyde,HOU,29,16,14,245,1070,6,58,4.4,66.9,4,1.882,1.0095642933049944,1.9,1.9
845,2018,Carlos Hyde,2TM,28,14,7,172,571,5,22,3.3,40.8,2,1.772,0.6888194130925508,1.220588,1.195588
846,2017,Carlos Hyde,SFO,27,16,16,240,938,8,61,3.9,58.6,2,1.67,0.7014628742514971,1.171443,0.922047
847,2016,Carlos Hyde,SFO,26,13,13,217,988,6,47,4.6,76.0,5,1.5527,0.6466761125780898,1.004094,0.754698
848,2015,Carlos Hyde,SFO,25,7,7,115,470,3,22,4.1,67.1,1,1.4328,0.5839928810720268,0.836745,0.587349
849,2014,Carlos Hyde,SFO,24,14,0,83,333,4,28,4.0,23.8,1,1.33,0.5033052631578948,0.669396,1.417584
479,2020,Chase Edmonds,ARI,24,7,1,29,176,1,32,6.1,25.1,2,1.982,0.4354636730575177,0.863089,0.75
480,2019,Chase Edmonds,ARI,23,13,2,60,303,4,37,5.1,23.3,0,1.882,0.3629590860786397,0.683089,0.57
481,2018,Chase Edmonds,ARI,22,16,0,60,208,2,29,3.5,13.0,1,1.772,0.33470033860045145,0.593089,0.932356
326,2020,Chris Carson,SEA,26,6,6,66,323,3,29,4.9,53.8,1,1.982,1.0844021190716449,2.149285,2.133
327,2019,Chris Carson,SEA,25,15,15,278,1230,7,59,4.4,82.0,7,1.882,0.35137353878852284,0.661285,0.645
328,2018,Chris Carson,SEA,24,14,14,247,1151,9,61,4.7,82.2,3,1.772,0.3223955981941309,0.571285,0.555
329,2017,Chris Carson,SEA,23,4,3,49,208,0,30,4.2,52.0,0,1.67,0.23461916167664673,0.391814,0.440669
860,2018,Chris Ivory,BUF,30,13,1,115,385,1,21,3.3,29.6,1,1.772,1.3931997742663655,2.46875,3.15625
861,2017,Chris Ivory,JAX,29,14,3,112,382,1,34,3.4,27.3,2,1.67,3.592814371257485,6.0,5.0
862,2016,Chris Ivory,JAX,28,11,1,117,439,3,42,3.8,39.9,5,1.5527,2.2541379532427386,3.5,7.5
863,2015,Chris Ivory,NYJ,27,15,14,247,1070,7,58,4.3,71.3,4,1.4328,1.919318816303741,2.75,2.0
864,2014,Chris Ivory,NYJ,26,16,10,198,821,6,71,4.1,51.3,2,1.33,1.3157894736842104,1.75,1.0
865,2013,Chris Ivory,NYJ,25,15,6,182,833,3,69,4.6,55.5,2,1.23,1.2195121951219512,1.5,3.0
866,2012,Chris Ivory,NOR,24,6,2,40,217,2,56,5.4,36.2,0,1.206,0.509592039800995,0.614568,0.6192
867,2011,Chris Ivory,NOR,23,6,2,79,374,1,35,4.7,62.3,0,1.2,0.3156533333333333,0.378784,0.377118
1341,2014,Chris Ogbonnaya,2TM,28,7,0,14,50,1,9,3.6,7.1,0,1.33,0.10084060150375938,0.134118,0.171765
1342,2013,Chris Ogbonnaya,CLE,27,16,7,49,240,0,43,4.9,15.0,2,1.23,0.6300813008130082,0.775,0.775
1419,2009,Clinton Portis,WAS,28,8,8,124,494,1,78,4.0,61.8,1,1.23,5.017140650406503,6.171083,1.245
1420,2008,Clinton Portis,WAS,27,16,16,342,1487,9,31,4.3,92.9,3,1.16,5.19920948275862,6.031083,10.4305
1421,2007,Clinton Portis,WAS,26,16,16,325,1262,11,32,3.9,78.9,6,1.09,3.6392963302752297,3.966833,4.5
1422,2006,Clinton Portis,WAS,25,8,7,127,523,7,38,4.1,65.4,0,1.02,3.1135617647058824,3.175833,3.585
1423,2005,Clinton Portis,WAS,24,16,16,352,1516,11,47,4.3,94.8,3,0.855,2.790447953216374,2.385833,0.455
1424,2004,Clinton Portis,WAS,23,15,15,343,1315,5,64,3.8,87.7,5,0.80582,4.623654165942766,3.725833,13.38
1425,2003,Clinton Portis,DEN,22,13,13,290,1591,14,65,5.5,122.4,3,0.75007,0.8299225405628808,0.6225,0.3
1426,2002,Clinton Portis,DEN,21,16,12,273,1508,15,59,5.5,94.3,5,0.71101,0.7700313638345452,0.5475,1.515
375,2020,Dalvin Cook,MIN,25,5,5,92,489,7,39,5.3,97.8,1,1.982,2.329172048435923,4.616419,16.331361
376,2019,Dalvin Cook,MIN,24,14,14,250,1135,13,75,4.5,81.1,4,1.882,0.9206806588735388,1.732721,1.042574
377,2018,Dalvin Cook,MIN,23,11,10,133,615,2,70,4.6,55.9,2,1.772,0.8148611738148984,1.443934,0.753787
378,2017,Dalvin Cook,MIN,22,4,4,74,354,2,33,4.8,88.5,1,1.67,0.6917047904191618,1.155147,3.225588
1698,2014,Daniel Thomas,MIA,27,12,0,44,168,2,15,3.8,14.0,1,1.33,0.42790827067669174,0.569118,0.569118
1699,2013,Daniel Thomas,MIA,26,15,1,109,406,4,55,3.7,27.1,0,1.23,0.7176032520325204,0.882652,0.669217
1700,2012,Daniel Thomas,MIA,25,12,0,91,325,4,20,3.6,27.1,3,1.206,0.6099038142620232,0.735544,0.522109
