playerid,year,playername,team,age,pos,g,gs,tgt,rec,catchpercent,yds,yardsperrec,tds,firstdowns,longgain,yardspertarget,recpergame,yardspergame,fumbles
BBaldDo00,2011,Doug Baldwin ,SEA,23,,16,1,85.0,51,60.0%,788,15.5,4,40,55,9.3,3.2,49.3,0.0
BBaldJo00,2013,Jonathan Baldwin,SFO,24,,7,1,9.0,3,33.3%,28,9.3,0,1,15,3.1,0.4,4.0,0.0
BBaldJo00,2012,Jonathan Baldwin,KAN,23,WR,15,7,47.0,20,42.6%,325,16.3,1,15,57,6.9,1.3,21.7,0.0
BBaldJo00,2011,Jonathan Baldwin,KAN,22,,11,3,52.0,21,40.4%,254,12.1,1,13,39,4.9,1.9,23.1,0.0
BBallJa21,2013,Jake Ballard,ARI,26,,8,3,9.0,7,77.8%,75,10.7,2,5,29,8.3,0.9,9.4,0.0
BBallJa21,2011,Jake Ballard,NYG,24,TE,14,13,61.0,38,62.3%,604,15.9,4,31,41,9.9,2.7,43.1,0.0
BBallKa00,2020,Kalen Ballage,2TM,25,,6,2,28.0,23,82.1%,143,6.2,0,5,21,5.1,3.8,23.8,0.0
BBallKa00,2019,Kalen Ballage,MIA,24,RB,12,6,24.0,14,58.3%,63,4.5,0,4,13,2.6,1.2,5.3,0.0
BBallKa00,2018,Kalen Ballage,MIA,23,,12,0,11.0,9,81.8%,56,6.2,0,2,31,5.1,0.8,4.7,1.0
BBallLa00,2012,Lance Ball,DEN,27,,15,0,12.0,7,58.3%,61,8.7,1,4,17,5.1,0.5,4.1,1.0
BBallLa00,2011,Lance Ball,DEN,26,,16,0,32.0,16,50.0%,148,9.3,1,8,34,4.6,1.0,9.3,2.0
BBallLa00,2010,Lance Ball,DEN,25,,10,0,6.0,3,50.0%,16,5.3,0,1,13,2.7,0.3,1.6,1.0
BBallLa00,2008,Lance Ball,IND,23,,1,0,1.0,1,100.0%,5,5.0,0,0,5,5.0,1.0,5.0,1.0
BBallMo00,2014,Montee Ball,DEN,24,,5,3,13.0,9,69.2%,62,6.9,0,2,16,4.8,1.8,12.4,1.0
BBallMo00,2013,Montee Ball,DEN,23,,16,0,27.0,20,74.1%,145,7.3,0,10,31,5.4,1.3,9.1,3.0
BBallVi00,2013,Vick Ballard,IND,23,,1,1,2.0,1,50.0%,-5,-5.0,0,0,-5,-2.5,1.0,-5.0,0.0
BBallVi00,2012,Vick Ballard,IND,22,RB,16,12,27.0,17,63.0%,152,8.9,1,7,19,5.6,1.1,9.5,3.0
BBankBr00,2012,Brandon Banks,WAS,25,,12,0,8.0,8,100.0%,15,1.9,0,2,8,1.9,0.7,1.3,4.0
BBankBr00,2011,Brandon Banks,WAS,24,,16,0,1.0,1,100.0%,10,10.0,0,1,10,10.0,0.1,0.6,7.0
BBankBr00,2010,Brandon Banks,WAS,23,,13,0,5.0,2,40.0%,10,5.0,0,1,15,2.0,0.2,0.8,2.0
BBankGa00,2010,Gary Banks,SDG,29,,2,2,3.0,1,33.3%,2,2.0,0,0,2,0.7,0.5,1.0,0.0
BBankTa00,1999,Tavian Banks,JAX,25,,8,1,14.0,14,100.0%,137,9.8,0,6,38,9.8,1.8,17.1,0.0
BBankTa00,1998,Tavian Banks,JAX,24,,6,1,4.0,4,100.0%,20,5.0,0,0,10,5.0,0.7,3.3,2.0
BBannAl00,2004,Alex Bannister,SEA,25,,7,1,3.0,2,66.7%,10,5.0,0,0,8,3.3,0.3,1.4,0.0
BBannAl00,2003,Alex Bannister,SEA,24,,16,2,12.0,3,25.0%,61,20.3,1,3,31,5.1,0.2,3.8,0.0
BBannAl00,2001,Alex Bannister,SEA,22,,16,0,7.0,4,57.1%,50,12.5,0,3,17,7.1,0.3,3.1,0.0
BBantBr00,1998,Bradford Banta,IND,28,,16,0,2.0,1,50.0%,7,7.0,0,1,7,3.5,0.1,0.4,0.0
BBanyJo00,2014,Joe Banyard,MIN,26,,15,0,11.0,9,81.8%,62,6.9,0,4,12,5.6,0.6,4.1,0.0
BBanyJo00,2013,Joe Banyard,MIN,25,,3,0,1.0,1,100.0%,11,11.0,0,1,11,11.0,0.3,3.7,0.0
BBarbMa01,2011,Marion Barber III,CHI,28,,11,1,9.0,5,55.6%,50,10.0,0,1,16,5.6,0.5,4.5,1.0
BBarbMa01,2010,Marion Barber III,DAL,27,RB,13,10,16.0,11,68.8%,49,4.5,0,0,15,3.1,0.8,3.8,0.0
BBarbMa01,2009,Marion Barber III,DAL,26,RB,15,15,36.0,26,72.2%,221,8.5,0,10,42,6.1,1.7,14.7,2.0
BBarbMa01,2008,Marion Barber III,DAL,25,RB,15,13,61.0,52,85.2%,417,8.0,2,18,70,6.8,3.5,27.8,7.0
BBarbMa01,2007,Marion Barber III,DAL,24,,16,0,54.0,44,81.5%,282,6.4,2,17,29,5.2,2.8,17.6,3.0
BBarbMa01,2006,Marion Barber III,DAL,23,,16,1,32.0,23,71.9%,196,8.5,2,8,26,6.1,1.4,12.3,0.0
BBarbMa01,2005,Marion Barber III,DAL,22,,13,2,25.0,18,72.0%,115,6.4,0,6,21,4.6,1.4,8.8,3.0
BBarbPe01,2020,Peyton Barber,WAS,26,,11,2,3.0,2,66.7%,11,5.5,0,1,7,3.7,0.2,1.0,0.0
BBarbPe01,2019,Peyton Barber,TAM,25,rb,16,7,24.0,16,66.7%,115,7.2,1,4,16,4.8,1.0,7.2,1.0
BBarbPe01,2018,Peyton Barber,TAM,24,RB,16,16,29.0,20,69.0%,92,4.6,1,4,10,3.2,1.3,5.8,1.0
BBarbPe01,2017,Peyton Barber,TAM,23,,16,4,19.0,16,84.2%,114,7.1,0,4,34,6.0,1.0,7.1,2.0
BBarbPe01,2016,Peyton Barber,TAM,22,,15,1,6.0,5,83.3%,28,5.6,0,1,11,4.7,0.3,1.9,0.0
BBarbTi00,2006,Tiki Barber,NYG,31,RB,16,16,75.0,58,77.3%,465,8.0,0,24,28,6.2,3.6,29.1,3.0
BBarbTi00,2005,Tiki Barber,NYG,30,RB,16,16,70.0,54,77.1%,530,9.8,2,22,48,7.6,3.4,33.1,1.0
BBarbTi00,2004,Tiki Barber,NYG,29,RB,16,14,79.0,52,65.8%,578,11.1,2,20,62,7.3,3.3,36.1,5.0
BBarbTi00,2003,Tiki Barber,NYG,28,RB,16,16,98.0,69,70.4%,461,6.7,1,26,36,4.7,4.3,28.8,9.0
BBarbTi00,2002,Tiki Barber,NYG,27,RB,16,15,95.0,69,72.6%,597,8.7,0,24,38,6.3,4.3,37.3,9.0
BBarbTi00,2001,Tiki Barber,NYG,26,RB,14,9,98.0,72,73.5%,577,8.0,0,30,44,5.9,5.1,41.2,8.0
BBarbTi00,2000,Tiki Barber,NYG,25,RB,16,12,95.0,70,73.7%,719,10.3,1,29,36,7.6,4.4,44.9,9.0
BBarbTi00,1999,Tiki Barber,NYG,24,,16,1,91.0,66,72.5%,609,9.2,2,32,56,6.7,4.1,38.1,5.0
BBarbTi00,1998,Tiki Barber,NYG,23,,16,4,59.0,42,71.2%,348,8.3,3,13,87,5.9,2.6,21.8,1.0
BBarcCh00,2007,Chris Barclay,2TM,24,,5,0,3.0,2,66.7%,13,6.5,0,0,7,4.3,0.4,2.6,0.0
BBardRa00,2012,Ramses Barden,NYG,26,,12,1,21.0,14,66.7%,220,15.7,0,11,31,10.5,1.2,18.3,0.0
BBardRa00,2011,Ramses Barden,NYG,25,,8,0,19.0,9,47.4%,94,10.4,0,5,26,4.9,1.1,11.8,0.0
BBardRa00,2010,Ramses Barden,NYG,24,,6,0,7.0,5,71.4%,64,12.8,0,1,26,9.1,0.8,10.7,0.0
BBardRa00,2009,Ramses Barden,NYG,23,,3,0,1.0,1,100.0%,16,16.0,0,1,16,16.0,0.3,5.3,0.0
BBarkSa00,2020,Saquon Barkley,NYG,23,,2,2,9.0,6,66.7%,60,10.0,0,3,38,6.7,3.0,30.0,0.0
BBarkSa00,2019,Saquon Barkley,NYG,22,RB,13,13,73.0,52,71.2%,438,8.4,2,14,65,6.0,4.0,33.7,1.0
BBarkSa00,2018,Saquon Barkley,NYG,21,RB,16,16,121.0,91,75.2%,721,7.9,4,30,57,6.0,5.7,45.1,0.0
BBarlKe00,2006,Kevan Barlow,NYJ,27,,12,3,10.0,7,70.0%,21,3.0,0,1,8,2.1,0.6,1.8,1.0
BBarlKe00,2005,Kevan Barlow,SFO,26,RB,12,12,42.0,31,73.8%,241,7.8,0,7,24,5.7,2.6,20.1,2.0
BBarlKe00,2004,Kevan Barlow,SFO,25,RB,15,14,45.0,35,77.8%,212,6.1,0,12,15,4.7,2.3,14.1,2.0
BBarlKe00,2003,Kevan Barlow,SFO,24,rb,16,4,44.0,35,79.5%,307,8.8,1,14,48,7.0,2.2,19.2,5.0
BBarlKe00,2002,Kevan Barlow,SFO,23,,14,0,21.0,14,66.7%,136,9.7,1,7,29,6.5,1.0,9.7,2.0
BBarlKe00,2001,Kevan Barlow,SFO,22,,15,0,28.0,22,78.6%,247,11.2,1,10,61,8.8,1.5,16.5,1.0
BBarlRe00,2003,Reggie Barlow,TAM,30,,11,0,6.0,3,50.0%,27,9.0,1,1,13,4.5,0.3,2.5,1.0
BBarlRe00,2002,Reggie Barlow,TAM,29,,2,1,5.0,3,60.0%,23,7.7,0,2,13,4.6,1.5,11.5,0.0
BBarlRe00,2000,Reggie Barlow,JAX,27,,16,0,4.0,1,25.0%,28,28.0,0,1,28,7.0,0.1,1.8,0.0
BBarlRe00,1999,Reggie Barlow,JAX,26,,14,2,26.0,16,61.5%,202,12.6,0,10,31,7.8,1.1,14.4,4.0
BBarlRe00,1998,Reggie Barlow,JAX,25,,16,2,26.0,11,42.3%,168,15.3,0,5,31,6.5,0.7,10.5,1.0
BBarnDa00,2008,Darian Barnes,3TM,28,,9,2,3.0,2,66.7%,34,17.0,0,0,25,11.3,0.2,3.8,1.0
BBarnDa00,2006,Darian Barnes,MIA,26,fb,16,6,7.0,3,42.9%,22,7.3,0,1,13,3.1,0.2,1.4,0.0
BBarnDa00,2004,Darian Barnes,DAL,24,FB,16,10,14.0,10,71.4%,59,5.9,1,4,14,4.2,0.6,3.7,1.0
BBarnDa00,2003,Darian Barnes,TAM,23,,14,0,1.0,1,100.0%,6,6.0,0,1,6,6.0,0.1,0.4,0.0
BBarnGa01,2016,Gary Barnidge,CLE,31,TE,16,16,82.0,55,67.1%,612,11.1,2,34,43,7.5,3.4,38.3,0.0
BBarnGa01,2015,Gary Barnidge,CLE,30,TE,16,13,125.0,79,63.2%,1043,13.2,9,52,40,8.3,4.9,65.2,0.0
BBarnGa01,2014,Gary Barnidge,CLE,29,,13,2,25.0,13,52.0%,156,12.0,0,9,28,6.2,1.0,12.0,0.0
BBarnGa01,2013,Gary Barnidge,CLE,28,TE,16,12,18.0,13,72.2%,127,9.8,2,6,40,7.1,0.8,7.9,0.0
BBarnGa01,2012,Gary Barnidge,CAR,27,TE,16,5,6.0,6,100.0%,78,13.0,1,3,24,13.0,0.4,4.9,0.0
BBarnGa01,2009,Gary Barnidge,CAR,24,,16,3,21.0,12,57.1%,242,20.2,0,8,55,11.5,0.8,15.1,1.0
BBarnKe00,2019,Kenjon Barner,ATL,30,,14,0,8.0,6,75.0%,22,3.7,0,1,13,2.8,0.4,1.6,4.0
BBarnKe00,2017,Kenjon Barner,PHI,28,,13,1,8.0,5,62.5%,56,11.2,0,1,22,7.0,0.4,4.3,3.0
BBarnKe00,2016,Kenjon Barner,PHI,27,,13,0,11.0,5,45.5%,42,8.4,0,3,15,3.8,0.4,3.2,0.0
BBarnKe00,2015,Kenjon Barner,PHI,26,,10,0,12.0,9,75.0%,22,2.4,0,1,12,1.8,0.9,2.2,1.0
BBarnKe00,2013,Kenjon Barner,CAR,24,,8,0,3.0,2,66.7%,7,3.5,0,0,5,2.3,0.3,0.9,1.0
BBarnKh20,2014,Khalif Barnes,OAK,32,rt,14,13,1.0,1,100.0%,1,1.0,0,0,1,1.0,0.1,0.1,1.0
BBarnKh20,2010,Khalif Barnes,OAK,28,,16,3,2.0,2,100.0%,8,4.0,1,1,6,4.0,0.1,0.5,0.0
BBarnMa00,2000,Marlon Barnes,CHI,24,,13,0,3.0,1,33.3%,7,7.0,0,0,7,2.3,0.1,0.5,1.0
BBartMi00,2005,Mike Bartrum,PHI,35,,16,0,2.0,2,100.0%,6,3.0,2,2,3,3.0,0.1,0.4,0.0
BBartMi00,2004,Mike Bartrum,PHI,34,,16,0,7.0,5,71.4%,45,9.0,1,3,17,6.4,0.3,2.8,1.0
BBartMi00,2002,Mike Bartrum,PHI,32,,16,0,2.0,1,50.0%,8,8.0,0,0,8,4.0,0.1,0.5,0.0
BBartMi00,2001,Mike Bartrum,PHI,31,,16,0,2.0,1,50.0%,4,4.0,1,1,4,2.0,0.1,0.3,0.0
BBartMi00,1999,Mike Bartrum,NWE,29,,16,0,1.0,1,100.0%,1,1.0,1,1,1,1.0,0.1,0.1,1.0
