Year,Team,Adjusted Line yards,,Running Back Yards,,Power Success Rate,,Open Field Yards,,Second Level Yards,,Stuffed Rate,,Adjusted Sack Rate,,Sacks
2012,CLE,20,4.28,25,3.79,29,53%,31,0.4,23,1.08,16,19.20%,12,6.00%,36
2012,DAL,22,4.16,26,3.78,15,63%,26,0.52,25,1.04,12,18.70%,11,5.80%,36
2012,DEN,12,4.39,19,4.07,9,67%,25,0.53,16,1.19,20,19.90%,2,4.20%,21
2012,DET,15,4.3,20,4.02,27,56%,27,0.49,20,1.1,5,16.70%,1,3.70%,29
2012,GNB,25,4.1,31,3.58,7,68%,32,0.28,29,0.97,13,18.70%,31,8.60%,51
2012,HOU,9,4.43,12,4.34,18,61%,12,0.85,10,1.27,23,20.20%,9,5.30%,28
2012,IND,26,4,27,3.78,2,72%,28,0.48,13,1.23,30,24.70%,17,6.80%,41
2012,JAX,17,4.3,23,3.89,20,61%,23,0.58,28,1.01,15,18.90%,22,7.80%,50
2012,KAN,19,4.29,3,4.84,23,59%,2,1.25,8,1.33,19,19.50%,27,8.20%,40
2012,MIA,21,4.18,17,4.15,17,63%,17,0.76,17,1.14,11,18.20%,18,6.80%,37
2012,MIN,10,4.43,1,5.67,29,53%,1,2.08,4,1.41,29,24.20%,16,6.50%,32
2012,NWE,3,4.72,13,4.32,13,66%,22,0.63,9,1.33,10,17.50%,5,4.50%,27
2012,NOR,18,4.29,11,4.4,3,71%,9,0.9,12,1.25,14,18.90%,7,4.90%,26
2012,NYG,2,4.74,5,4.75,8,67%,7,0.96,7,1.38,18,19.50%,3,4.40%,20
2012,NYJ,5,4.66,21,4,9,67%,29,0.45,24,1.06,2,15.50%,30,8.60%,47
2012,OAK,29,3.74,22,3.9,28,55%,15,0.78,21,1.1,24,20.60%,4,4.40%,27
2012,PHI,28,3.79,10,4.47,6,69%,6,1.06,6,1.39,31,26.40%,25,8.10%,48
2012,PIT,27,3.95,28,3.71,18,61%,24,0.54,30,0.95,17,19.50%,15,6.30%,37
2012,SDG,23,4.15,29,3.71,21,60%,30,0.41,27,1.01,6,16.70%,32,8.90%,49
2012,SEA,4,4.7,4,4.83,4,70%,8,0.94,2,1.42,1,15.30%,20,7.20%,33
2012,SFO,1,4.77,6,4.74,12,66%,14,0.79,1,1.49,7,17.00%,29,8.50%,41
2012,STL,13,4.33,14,4.3,16,63%,16,0.76,11,1.26,21,20.00%,14,6.20%,35
2012,TAM,14,4.32,9,4.5,21,60%,5,1.09,15,1.19,22,20.10%,6,4.80%,26
2012,TEN,31,3.56,15,4.21,9,67%,3,1.19,18,1.13,28,23.60%,19,7.10%,39
2012,WAS,8,4.51,7,4.72,24,58%,13,0.85,5,1.4,3,16.30%,22,7.80%,33
2011,ARI,15,4.32,24,4.12,16,63%,21,0.74,27,1.07,18,19.80%,27,9.00%,54
2011,ATL,27,4.06,19,4.21,22,59%,6,1.06,17,1.16,31,24.80%,7,5.10%,26
2011,BAL,7,4.51,11,4.47,15,63%,5,1.06,30,1.05,11,17.90%,12,5.90%,33
2011,BUF,12,4.43,2,5.04,7,67%,2,1.29,9,1.25,14,18.40%,1,3.80%,23
2011,CAR,5,4.58,1,5.3,4,71%,1,1.4,5,1.38,6,16.60%,21,7.20%,35
2011,CHI,24,4.16,13,4.39,20,61%,8,1.03,11,1.24,30,24.10%,31,9.80%,49
2011,CIN,20,4.23,29,3.82,25,56%,28,0.51,23,1.12,27,22.00%,4,4.50%,25
2011,CLE,23,4.18,32,3.6,9,66%,31,0.41,32,0.85,2,15.70%,15,6.40%,39
2011,DAL,6,4.52,7,4.63,23,57%,9,0.97,8,1.31,16,18.80%,13,6.10%,39
2011,DEN,11,4.45,5,4.67,26,56%,10,0.94,7,1.32,9,17.10%,29,9.50%,42
2011,DET,31,3.93,18,4.22,28,52%,14,0.89,21,1.13,24,20.70%,11,5.80%,36
2011,GNB,17,4.29,26,4.06,20,61%,26,0.63,18,1.15,25,20.80%,23,7.40%,41
2011,HOU,4,4.64,6,4.66,14,64%,11,0.93,4,1.43,12,18.10%,22,7.30%,33
2011,IND,25,4.15,23,4.12,30,50%,23,0.72,20,1.13,17,19.50%,18,6.90%,35
2011,JAX,13,4.39,16,4.28,13,64%,20,0.76,16,1.19,8,17.00%,26,8.90%,44
2011,KAN,28,4.04,27,3.89,18,62%,27,0.55,25,1.11,21,20.30%,19,7.10%,34
2011,MIA,16,4.3,15,4.28,32,46%,17,0.82,19,1.14,13,18.30%,30,9.60%,52
2011,MIN,18,4.29,4,4.72,1,73%,3,1.16,3,1.43,28,23.00%,32,9.80%,49
2011,NWE,2,4.81,21,4.17,19,61%,30,0.45,14,1.22,7,16.70%,9,5.40%,32
2011,NOR,1,5.25,3,5.02,12,65%,13,0.91,1,1.51,1,14.70%,3,4.50%,24
2011,NYG,29,4.04,31,3.77,27,53%,29,0.5,29,1.05,15,18.70%,6,5.00%,28
2011,NYJ,8,4.49,28,3.87,9,66%,32,0.32,28,1.06,4,15.90%,17,6.70%,40
2011,OAK,14,4.38,9,4.52,7,67%,7,1.05,24,1.12,3,15.70%,5,5.00%,25
2011,PHI,26,4.13,8,4.54,6,67%,4,1.1,2,1.44,32,24.90%,10,5.80%,32
2011,PIT,3,4.71,10,4.49,23,57%,16,0.82,6,1.32,23,20.50%,20,7.20%,42
2011,SDG,9,4.47,12,4.42,5,69%,15,0.85,13,1.23,5,16.50%,8,5.40%,30
2011,SEA,19,4.25,25,4.12,1,73%,24,0.72,26,1.11,10,17.70%,24,8.30%,50
2011,SFO,21,4.21,22,4.17,29,51%,12,0.92,22,1.12,22,20.40%,25,8.40%,44
2011,STL,30,3.98,17,4.22,31,48%,22,0.72,10,1.25,20,20.30%,28,9.10%,55
2011,TAM,22,4.2,14,4.32,11,65%,19,0.79,12,1.23,26,21.00%,14,6.20%,32
2011,TEN,32,3.59,30,3.79,3,72%,18,0.81,31,1.04,29,24.10%,2,4.20%,24
2011,WAS,10,4.46,20,4.19,17,62%,25,0.67,15,1.19,19,20.00%,16,6.50%,41
2010,ARI,21,3.99,12,4.31,5,74%,7,1,11,1.2,22,20.70%,27,8.40%,50
2010,ATL,8,4.35,19,3.97,9,68%,16,0.71,28,1.03,15,18.80%,3,4.10%,22
2010,BAL,9,4.35,24,3.88,24,55%,27,0.46,29,0.97,6,15.40%,25,7.90%,40
2010,BUF,20,4,18,4.05,11,65%,19,0.66,19,1.1,21,20.20%,17,6.50%,34
2010,CAR,27,3.88,13,4.29,14,62%,9,0.99,9,1.22,23,20.90%,31,9.90%,50
2010,CHI,29,3.78,26,3.79,32,44%,13,0.8,22,1.06,30,25.00%,32,10.40%,56
2010,CIN,17,4.19,28,3.76,28,51%,31,0.38,15,1.15,27,22.80%,7,5.10%,28
2010,CLE,18,4.19,20,3.95,4,74%,24,0.55,30,0.93,4,14.40%,23,7.60%,36
2010,DAL,13,4.29,25,3.87,26,54%,26,0.49,20,1.1,13,18.50%,11,5.80%,31
2010,DEN,30,3.72,30,3.62,27,52%,28,0.45,16,1.12,25,22.50%,16,6.40%,40
2010,DET,32,3.47,32,3.46,21,56%,30,0.43,26,1.04,28,23.30%,4,4.30%,27
2010,GNB,23,3.96,31,3.52,25,55%,29,0.44,31,0.88,12,18.20%,21,7.20%,38
2010,HOU,4,4.69,1,5.12,10,66%,2,1.32,1,1.42,9,16.20%,12,5.90%,32
2010,IND,22,3.96,22,3.91,21,56%,21,0.64,24,1.04,20,20.10%,1,2.80%,16
2010,JAX,2,4.81,5,4.63,13,63%,18,0.7,2,1.35,3,13.30%,24,7.70%,38
2010,KAN,5,4.6,4,4.82,20,57%,8,1,3,1.35,5,15.30%,18,6.80%,32
2010,MIA,16,4.22,27,3.78,1,83%,32,0.38,32,0.86,7,15.90%,15,6.30%,38
2010,MIN,11,4.3,11,4.33,6,70%,12,0.82,8,1.25,18,19.40%,20,6.80%,36
2010,NWE,1,5,7,4.54,8,68%,22,0.56,6,1.3,2,12.40%,6,4.90%,25
2010,NOR,6,4.59,14,4.23,7,68%,17,0.71,10,1.21,17,19.10%,5,4.70%,26
2010,NYG,7,4.37,3,4.83,18,59%,3,1.25,4,1.31,16,19.00%,2,3.30%,16
2010,NYJ,3,4.72,8,4.49,2,77%,23,0.56,14,1.15,1,12.10%,8,5.40%,28
2010,OAK,15,4.26,6,4.6,15,61%,6,1.16,18,1.1,8,16.20%,26,8.30%,44
2010,PHI,10,4.33,2,4.96,3,76%,1,1.35,7,1.25,10,17.20%,28,8.40%,49
2010,PIT,19,4.02,21,3.93,12,64%,15,0.73,23,1.04,24,21.50%,29,8.60%,43
2010,SDG,14,4.27,16,4.18,15,61%,14,0.79,17,1.11,19,19.40%,19,6.80%,38
2010,SEA,28,3.81,23,3.9,29,48%,11,0.84,21,1.06,32,26.00%,14,6.20%,35
2010,SFO,12,4.29,17,4.05,23,56%,20,0.65,25,1.04,11,17.30%,30,8.90%,44
2010,STL,26,3.91,29,3.64,19,58%,25,0.51,27,1.03,14,18.80%,10,5.60%,34
2010,TAM,25,3.92,9,4.43,17,60%,5,1.21,13,1.18,26,22.80%,13,6.10%,30
2010,TEN,31,3.6,10,4.36,31,46%,4,1.25,12,1.2,31,25.80%,9,5.60%,27
2010,WAS,24,3.95,15,4.19,30,48%,10,0.9,5,1.3,29,24.80%,22,7.30%,46
2009,ARI,16,4.33,15,4.28,28,56%,14,0.81,2,1.37,30,23.00%,7,5.20%,26
2009,ATL,10,4.49,11,4.36,17,63%,11,0.89,18,1.12,12,17.50%,6,4.60%,27
2009,BAL,4,4.68,2,5,8,68%,3,1.27,6,1.29,7,16.00%,19,6.60%,37
2009,BUF,12,4.41,14,4.29,31,50%,23,0.63,17,1.15,5,15.80%,32,9.90%,46
2009,CAR,18,4.25,4,4.93,11,67%,2,1.31,1,1.4,27,22.20%,17,6.50%,33
2009,CHI,20,4.23,25,4.04,25,58%,15,0.81,30,0.95,16,19.00%,13,5.90%,35
2009,CIN,24,4.17,24,4.14,1,80%,16,0.74,12,1.2,17,19.50%,10,5.60%,29
2009,CLE,13,4.36,16,4.28,14,65%,20,0.65,22,1.11,10,17.20%,15,6.10%,30
2009,DAL,2,4.72,3,5,26,58%,5,1.15,3,1.36,11,17.30%,16,6.20%,34
2009,DEN,7,4.53,17,4.27,26,58%,25,0.61,5,1.29,22,21.00%,12,5.90%,34
2009,DET,29,3.83,31,3.72,22,60%,28,0.56,23,1.07,26,22.10%,21,7.00%,43
2009,GNB,9,4.51,22,4.17,3,73%,17,0.73,26,1.04,2,15.00%,30,8.60%,51
2009,HOU,17,4.32,29,3.73,21,60%,31,0.41,19,1.12,25,21.60%,8,5.20%,26
2009,IND,26,4.14,28,3.8,12,66%,30,0.52,20,1.11,29,22.50%,1,3.10%,13
2009,JAX,11,4.45,7,4.53,10,68%,6,1.07,21,1.11,13,17.60%,29,8.50%,44
2009,KAN,30,3.83,10,4.39,18,63%,8,1,9,1.26,20,20.90%,25,7.80%,46
2009,MIA,3,4.72,8,4.44,2,79%,21,0.63,28,1.01,1,13.80%,18,6.50%,34
2009,MIN,21,4.22,20,4.18,23,59%,9,0.94,14,1.18,32,23.90%,14,6.00%,34
2009,NWE,5,4.63,13,4.29,9,68%,27,0.59,11,1.22,3,15.10%,2,3.60%,18
2009,NOR,1,4.72,6,4.62,7,69%,10,0.93,8,1.27,14,17.90%,4,4.20%,21
2009,NYG,14,4.36,21,4.18,20,61%,19,0.68,10,1.23,18,19.80%,9,5.30%,32
2009,NYJ,6,4.58,5,4.71,6,70%,7,1.01,16,1.16,4,15.20%,23,7.70%,30
2009,OAK,23,4.18,26,4.02,4,72%,22,0.63,27,1.03,6,15.80%,31,9.50%,49
2009,PHI,8,4.53,18,4.25,18,63%,26,0.61,25,1.05,8,16.30%,20,6.60%,40
2009,PIT,15,4.35,12,4.32,5,72%,13,0.87,15,1.18,15,18.30%,28,8.50%,50
2009,SDG,19,4.23,32,3.54,32,46%,32,0.4,31,0.95,9,17.10%,5,4.50%,26
2009,SEA,27,4.13,23,4.15,29,56%,18,0.72,13,1.19,21,20.90%,22,7.00%,41
2009,SFO,32,3.7,19,4.24,16,63%,4,1.25,32,0.92,31,23.20%,26,8.10%,40
2009,STL,28,4.08,9,4.4,29,56%,12,0.88,4,1.34,28,22.30%,24,7.70%,44
2009,TAM,31,3.78,27,3.8,13,65%,24,0.62,24,1.06,23,21.00%,11,5.70%,33
2009,TEN,22,4.22,1,5.29,15,64%,1,1.78,7,1.28,24,21.30%,3,3.70%,15
2009,WAS,25,4.14,30,3.73,23,59%,29,0.54,29,1,19,20.70%,27,8.50%,46
2008,ARI,30,3.83,30,3.61,29,58%,29,0.55,24,1.05,26,20.00%,8,4.40%,28
2008,ATL,9,4.39,7,4.62,11,70%,7,1.04,5,1.3,24,19.60%,5,3.60%,17
2008,BAL,11,4.32,23,3.99,3,76%,22,0.64,31,0.97,8,16.20%,20,6.80%,33
2008,BUF,14,4.28,14,4.21,24,62%,20,0.67,10,1.16,16,18.10%,25,8.10%,38
2008,CAR,8,4.43,2,5.01,1,79%,2,1.33,3,1.31,19,18.50%,9,4.90%,20
2008,CHI,26,4.09,27,3.89,20,63%,21,0.67,30,0.99,15,17.90%,11,5.30%,29
2008,CIN,32,3.46,32,3.24,30,56%,31,0.37,32,0.9,32,23.60%,27,8.50%,51
2008,CLE,20,4.24,26,3.94,27,59%,26,0.59,27,1.01,5,14.50%,7,4.40%,24
2008,DAL,17,4.25,8,4.48,15,68%,8,1,7,1.25,17,18.20%,13,5.80%,31
2008,DEN,1,4.96,3,4.96,10,71%,11,0.85,2,1.49,3,13.90%,4,3.30%,12
2008,DET,31,3.63,28,3.84,9,71%,16,0.72,11,1.15,31,23.40%,32,9.70%,52
2008,GNB,19,4.24,13,4.25,7,74%,10,0.88,17,1.14,23,19.50%,14,6.00%,34
2008,HOU,10,4.35,11,4.44,13,70%,5,1.07,15,1.15,14,17.80%,16,6.10%,32
2008,IND,23,4.14,31,3.6,21,62%,32,0.31,18,1.14,27,21.20%,1,2.80%,14
2008,JAX,15,4.26,17,4.16,6,76%,13,0.76,12,1.15,13,17.50%,24,7.90%,42
2008,KAN,28,3.88,9,4.46,28,58%,4,1.08,13,1.15,29,21.50%,21,7.00%,37
2008,MIA,12,4.32,12,4.27,5,76%,25,0.61,28,1.01,9,16.40%,12,5.70%,26
2008,MIN,13,4.29,5,4.63,8,73%,3,1.14,8,1.25,22,19.20%,28,8.90%,43
2008,NWE,3,4.82,6,4.62,12,70%,15,0.72,4,1.31,1,13.50%,26,8.50%,48
2008,NOR,6,4.54,16,4.17,18,64%,24,0.63,14,1.15,7,15.40%,2,2.90%,13
2008,NYG,4,4.8,1,5.28,23,62%,1,1.35,1,1.49,10,16.80%,10,5.00%,28
2008,NYJ,2,4.89,4,4.81,25,61%,9,0.98,6,1.25,4,14.20%,19,6.50%,30
2008,OAK,25,4.09,15,4.17,22,62%,17,0.71,16,1.14,18,18.50%,30,9.30%,39
2008,PHI,16,4.25,22,4.08,31,55%,19,0.68,22,1.11,20,19.10%,6,4.20%,23
2008,PIT,24,4.09,29,3.78,19,64%,27,0.57,23,1.07,30,22.50%,29,9.20%,50
2008,SDG,21,4.23,21,4.08,2,78%,18,0.69,26,1.02,6,15.10%,17,6.10%,25
2008,SEA,27,3.97,19,4.13,4,76%,12,0.84,20,1.12,25,19.60%,22,7.00%,36
2008,SFO,7,4.46,25,3.96,32,52%,30,0.51,29,1,11,17.00%,31,9.40%,55
2008,STL,29,3.85,24,3.98,16,66%,23,0.64,19,1.13,21,19.20%,23,7.70%,45
2008,TAM,22,4.19,20,4.09,17,65%,14,0.74,25,1.02,12,17.10%,18,6.30%,32
2008,TEN,18,4.25,10,4.45,26,61%,6,1.07,9,1.21,28,21.50%,3,3.20%,12
2008,WAS,5,4.57,18,4.13,14,69%,28,0.56,21,1.11,2,13.90%,15,6.00%,38
2007,ARI,9,4.37,30,3.7,14,65%,32,0.3,28,0.96,2,14.50%,9,4.70%,24
2007,ATL,32,3.52,18,4.07,17,62%,6,0.98,24,1.11,31,25.30%,24,7.90%,47
2007,BAL,27,3.86,20,4.02,11,68%,15,0.74,18,1.16,16,18.30%,22,7.60%,39
2007,BUF,24,4.01,22,3.97,28,51%,19,0.64,26,1.06,18,18.60%,13,5.40%,26
2007,CAR,19,4.17,17,4.08,16,63%,20,0.59,9,1.25,17,18.50%,15,6.40%,33
2007,CHI,29,3.76,32,3.36,3,75%,31,0.32,32,0.88,11,17.70%,19,7.00%,43
2007,CIN,10,4.33,25,3.9,5,73%,26,0.41,14,1.21,20,19.10%,2,3.20%,17
2007,CLE,2,4.69,8,4.46,15,64%,13,0.78,11,1.23,1,13.60%,5,4.20%,19
2007,DAL,14,4.25,9,4.31,12,68%,10,0.85,19,1.16,14,18.10%,7,4.50%,25
2007,DEN,15,4.24,5,4.6,32,49%,5,1.06,5,1.29,23,20.30%,14,5.90%,32
2007,DET,22,4.08,15,4.14,29,50%,11,0.83,15,1.2,25,21.10%,26,8.30%,54
2007,GNB,26,3.93,7,4.47,29,50%,3,1.22,25,1.11,24,21.00%,1,3.10%,19
2007,HOU,8,4.38,24,3.91,10,69%,22,0.51,27,0.97,3,14.60%,10,4.80%,22
2007,IND,4,4.56,19,4.04,1,78%,30,0.36,7,1.26,5,14.90%,5,4.20%,23
2007,JAX,18,4.17,2,4.81,18,61%,2,1.37,8,1.25,30,22.70%,17,6.90%,31
2007,KAN,31,3.62,31,3.37,20,61%,27,0.41,31,0.88,29,22.60%,29,9.10%,55
2007,MIA,21,4.09,12,4.22,8,70%,16,0.7,4,1.32,22,19.40%,20,7.40%,42
2007,MIN,13,4.27,1,5.44,2,77%,1,1.75,1,1.52,28,22.10%,28,8.60%,38
2007,NWE,1,4.72,11,4.25,8,70%,24,0.47,6,1.28,6,15.50%,4,4.10%,21
2007,NOR,7,4.45,28,3.86,13,66%,29,0.36,16,1.19,10,17.70%,3,3.60%,16
2007,NYG,3,4.57,3,4.79,7,70%,7,0.97,3,1.34,9,16.80%,11,5.00%,28
2007,NYJ,23,4.03,27,3.88,29,50%,25,0.45,17,1.17,12,17.80%,30,9.30%,53
2007,OAK,17,4.18,13,4.2,25,55%,17,0.65,13,1.22,21,19.20%,27,8.50%,41
2007,PHI,5,4.55,4,4.73,4,74%,8,0.92,2,1.4,19,18.90%,21,7.60%,49
2007,PIT,20,4.12,14,4.16,21,60%,14,0.77,22,1.13,13,17.90%,31,10.10%,47
2007,SDG,25,4.01,6,4.52,19,61%,4,1.18,10,1.23,26,21.10%,8,4.60%,24
2007,SEA,30,3.76,23,3.92,27,52%,12,0.78,20,1.14,32,25.50%,18,6.90%,36
2007,SFO,12,4.28,10,4.31,24,57%,18,0.64,12,1.22,4,14.90%,32,10.30%,55
2007,STL,28,3.79,21,3.98,26,54%,9,0.88,30,0.93,27,21.40%,25,8.10%,48
2007,TAM,6,4.53,16,4.12,23,59%,21,0.55,21,1.14,7,15.80%,23,7.90%,36
2007,TEN,11,4.31,26,3.9,6,71%,23,0.48,29,0.96,8,16.00%,16,6.60%,30
2007,WAS,16,4.19,29,3.75,21,60%,28,0.37,23,1.11,15,18.20%,12,5.10%,29
2006,ARI,24,3.98,31,3.34,26,56%,32,0.13,28,1,28,21.20%,14,6.20%,36
2006,ATL,17,4.18,6,4.64,23,60%,4,1.09,11,1.22,11,17.50%,31,10.50%,47
2006,BAL,20,4.16,24,3.78,24,59%,25,0.51,31,0.94,7,17.20%,2,3.70%,17
2006,BUF,26,3.91,25,3.74,11,69%,27,0.48,27,1.01,24,19.30%,29,9.50%,47
2006,CAR,23,3.99,22,3.98,31,50%,17,0.65,24,1.05,16,18.30%,16,6.50%,32
2006,CHI,7,4.45,19,4.07,7,71%,26,0.49,17,1.16,2,15.30%,6,4.80%,25
2006,CIN,9,4.41,23,3.98,5,72%,29,0.36,8,1.25,23,19.10%,13,6.10%,36
2006,CLE,31,3.72,32,3.29,3,74%,31,0.24,32,0.93,31,22.40%,27,9.20%,54
2006,DAL,10,4.39,14,4.21,17,63%,18,0.63,9,1.24,22,19.00%,23,7.90%,37
2006,DEN,18,4.18,7,4.44,16,63%,7,0.95,12,1.21,9,17.40%,9,5.80%,31
2006,DET,32,3.62,29,3.62,32,37%,16,0.66,25,1.04,32,24.60%,30,9.90%,63
2006,GNB,16,4.19,18,4.11,18,63%,19,0.62,16,1.18,12,17.70%,3,3.80%,24
2006,HOU,19,4.16,20,4,7,71%,20,0.57,22,1.09,4,15.60%,28,9.30%,43
2006,IND,5,4.51,17,4.13,22,60%,28,0.42,7,1.29,13,17.80%,1,3.40%,15
2006,JAX,2,4.61,2,5.13,14,65%,3,1.2,2,1.4,5,16.00%,19,7.00%,30
2006,KAN,15,4.2,11,4.34,2,74%,9,0.89,14,1.19,17,18.30%,21,7.60%,41
2006,MIA,21,4.14,16,4.18,9,70%,10,0.78,18,1.12,20,18.40%,20,7.10%,41
2006,MIN,13,4.28,15,4.2,12,68%,15,0.69,13,1.19,18,18.40%,22,7.70%,43
2006,NWE,11,4.33,13,4.23,1,82%,14,0.7,15,1.19,10,17.40%,8,5.70%,29
2006,NOR,12,4.32,21,3.99,30,54%,24,0.53,21,1.09,14,17.80%,4,4.30%,23
2006,NYG,4,4.52,4,4.99,6,71%,6,0.96,1,1.61,25,19.50%,7,5.40%,25
2006,NYJ,25,3.93,30,3.41,27,56%,30,0.26,30,0.94,27,20.50%,17,6.70%,34
2006,OAK,29,3.84,26,3.74,25,58%,21,0.57,26,1.03,29,21.90%,32,12.30%,72
2006,PHI,3,4.6,5,4.7,21,62%,11,0.76,3,1.35,3,15.60%,12,6.00%,28
2006,PIT,22,4.06,9,4.37,18,63%,5,1.07,19,1.12,15,18.10%,25,7.90%,49
2006,SDG,1,4.78,1,5.39,4,74%,1,1.57,6,1.31,1,13.00%,15,6.30%,28
2006,SEA,30,3.78,27,3.7,9,70%,23,0.53,23,1.05,26,20.00%,26,8.80%,49
2006,SFO,6,4.47,3,5,28,55%,2,1.32,5,1.31,6,16.60%,18,6.80%,35
2006,STL,8,4.45,10,4.36,18,63%,13,0.71,10,1.23,19,18.40%,24,7.90%,49
2006,TAM,27,3.86,28,3.67,15,64%,22,0.53,29,0.97,30,22.00%,10,5.90%,33
2006,TEN,28,3.86,12,4.3,13,67%,8,0.92,20,1.12,8,17.40%,11,6.00%,29
2006,WAS,14,4.25,8,4.41,29,55%,12,0.72,4,1.32,21,19.00%,5,4.40%,19
2005,ARI,32,3.24,32,3.01,32,41%,32,0.34,28,0.99,32,31.30%,14,6.40%,45
2005,ATL,7,4.46,6,4.49,14,65%,9,0.89,7,1.22,3,15.60%,24,8.10%,39
2005,BAL,28,3.65,28,3.55,4,76%,26,0.45,24,1.05,21,19.60%,19,7.40%,42
2005,BUF,16,4.08,20,3.8,17,63%,25,0.47,19,1.08,17,18.40%,27,8.80%,42
2005,CAR,13,4.15,27,3.62,22,60%,27,0.44,29,0.95,18,18.40%,9,5.60%,27
2005,CHI,15,4.13,7,4.41,28,55%,4,1.03,15,1.1,20,19.30%,21,7.70%,31
2005,CIN,4,4.54,10,4.3,8,70%,18,0.6,2,1.33,13,18.00%,2,3.90%,21
2005,CLE,21,3.88,19,3.88,31,48%,17,0.65,25,1.05,12,17.60%,25,8.20%,46
2005,DAL,24,3.85,23,3.76,23,60%,19,0.54,18,1.09,27,21.80%,28,9.70%,50
2005,DEN,2,4.61,4,4.71,9,68%,3,1.08,14,1.14,1,13.50%,4,4.90%,23
2005,DET,14,4.14,26,3.71,20,61%,21,0.51,31,0.93,10,17.50%,10,5.70%,30
2005,GNB,30,3.58,31,3.41,13,67%,23,0.49,30,0.94,26,21.50%,7,5.00%,27
2005,HOU,8,4.43,16,4.06,30,50%,24,0.48,16,1.1,7,17.00%,32,13.00%,68
2005,IND,1,4.65,17,3.95,29,54%,31,0.36,11,1.17,5,16.00%,1,3.70%,20
2005,JAX,27,3.77,18,3.94,20,61%,14,0.76,17,1.1,28,22.70%,11,5.80%,32
2005,KAN,3,4.61,3,4.78,10,68%,5,1.02,4,1.3,6,16.10%,15,6.60%,32
2005,MIA,11,4.28,9,4.35,6,71%,12,0.81,12,1.17,8,17.10%,5,4.90%,26
2005,MIN,31,3.48,24,3.75,16,63%,13,0.77,9,1.2,31,27.30%,29,10.10%,55
2005,NWE,26,3.78,29,3.53,3,77%,30,0.36,20,1.07,29,23.00%,6,5.00%,28
2005,NOR,19,3.98,22,3.78,25,57%,20,0.53,26,1.05,9,17.40%,18,7.40%,41
2005,NYG,10,4.3,2,4.84,27,56%,1,1.31,6,1.23,16,18.30%,8,5.30%,28
2005,NYJ,22,3.87,30,3.47,7,71%,29,0.39,32,0.89,22,20.50%,31,10.30%,53
2005,OAK,17,4.04,25,3.74,15,64%,28,0.43,22,1.06,11,17.60%,23,7.80%,44
2005,PHI,25,3.79,14,4.12,11,68%,11,0.82,10,1.18,23,20.60%,16,6.70%,42
2005,PIT,12,4.26,12,4.18,12,68%,15,0.75,13,1.16,14,18.20%,22,7.80%,32
2005,SDG,9,4.43,5,4.52,2,78%,8,0.89,8,1.2,4,15.70%,12,5.90%,30
2005,SEA,6,4.48,1,4.92,1,81%,2,1.23,1,1.47,25,21.30%,13,5.90%,27
2005,SFO,29,3.62,15,4.11,24,58%,6,0.98,23,1.06,24,21.00%,30,10.20%,48
2005,STL,23,3.85,13,4.13,25,57%,10,0.87,3,1.31,30,26.80%,20,7.50%,46
2005,TAM,18,3.99,11,4.21,5,75%,7,0.93,21,1.07,15,18.20%,26,8.40%,41
2005,TEN,20,3.92,21,3.78,19,62%,22,0.51,27,1.01,19,18.80%,3,4.70%,31
2005,WAS,5,4.5,8,4.38,17,63%,16,0.68,5,1.26,2,15.40%,17,6.90%,31
2004,ARI,29,3.76,30,3.62,30,47%,27,0.57,29,0.99,30,23.30%,17,7.00%,39
2004,ATL,6,4.57,13,4.36,5,72%,19,0.7,22,1.11,1,12.10%,31,11.80%,49
2004,BAL,12,4.33,14,4.35,19,59%,9,0.8,16,1.19,6,16.30%,12,6.50%,35
2004,BUF,23,4,26,3.86,22,57%,24,0.64,20,1.13,22,20.50%,20,7.80%,39
2004,CAR,24,3.95,27,3.8,16,61%,25,0.58,30,0.97,20,20.20%,8,6.10%,33
2004,CHI,28,3.8,29,3.72,15,64%,30,0.51,28,1.05,28,22.00%,32,12.10%,66
2004,CIN,18,4.11,18,4.15,20,58%,13,0.74,14,1.2,20,20.20%,7,5.70%,31
2004,CLE,30,3.65,28,3.79,14,64%,21,0.66,23,1.1,31,23.80%,27,8.70%,42
2004,DAL,26,3.94,23,3.99,25,56%,22,0.66,15,1.2,29,22.00%,18,7.00%,37
2004,DEN,8,4.52,8,4.49,27,56%,11,0.76,8,1.3,9,17.90%,3,4.00%,17
2004,DET,22,4.08,7,4.5,18,60%,1,1.05,11,1.25,25,21.30%,16,7.00%,37
2004,GNB,13,4.31,12,4.41,2,74%,4,0.87,19,1.15,8,17.30%,1,3.00%,14
2004,HOU,19,4.11,25,3.86,11,67%,31,0.49,27,1.06,18,18.90%,30,10.60%,50
2004,IND,2,4.86,3,4.65,32,46%,20,0.69,4,1.38,5,15.60%,2,3.60%,14
2004,JAX,25,3.94,19,4.13,29,51%,12,0.76,18,1.16,19,19.80%,10,6.40%,32
2004,KAN,3,4.69,5,4.6,8,70%,15,0.73,5,1.38,3,14.90%,9,6.20%,32
2004,MIA,32,3.39,32,3.45,4,73%,26,0.58,31,0.95,32,24.80%,25,8.50%,52
2004,MIN,9,4.46,1,4.7,6,71%,7,0.86,1,1.49,10,17.90%,22,8.10%,45
2004,NWE,5,4.59,10,4.42,9,69%,18,0.71,7,1.32,13,18.40%,5,4.80%,26
