Year,Team,Adjusted Line yards,,Running Back Yards,,Power Success Rate,,Open Field Yards,,Second Level Yards,,Stuffed Rate,,Adjusted Sack Rate,,Sacks
2017,CLE,14,4.09,10,4.15,4,74%,15,0.75,8,1.23,11,18.90%,22,7.60%,50
2017,DAL,4,4.66,6,4.26,3,77%,19,0.67,16,1.16,4,16.70%,15,6.40%,32
2017,DEN,9,4.31,17,4.03,15,65%,26,0.51,18,1.11,7,18.20%,29,9.10%,52
2017,DET,32,3.16,31,3.31,32,46%,23,0.52,29,0.95,31,27.20%,21,7.50%,47
2017,GNB,5,4.6,13,4.13,11,66%,24,0.51,19,1.1,2,15.90%,28,8.60%,51
2017,HOU,20,3.89,24,3.78,18,63%,25,0.51,26,1,18,20.70%,30,9.20%,54
2017,IND,18,3.98,27,3.63,2,81%,29,0.44,25,1,16,20.10%,32,10.00%,56
2017,JAX,13,4.12,9,4.16,19,62%,7,0.96,27,0.98,10,18.80%,5,4.40%,24
2017,KAN,12,4.14,2,4.66,1,82%,2,1.17,9,1.23,8,18.50%,17,6.70%,37
2017,LAC,26,3.71,23,3.93,25,58%,12,0.78,13,1.17,26,23.90%,3,4.20%,18
2017,LAR,3,4.7,3,4.53,29,50%,11,0.82,1,1.42,23,22.00%,9,5.60%,28
2017,MIA,30,3.26,14,4.09,6,71%,4,1.07,20,1.09,30,27.00%,11,5.80%,33
2017,MIN,19,3.96,20,3.98,10,67%,13,0.77,17,1.11,19,21.00%,6,4.40%,27
2017,NWE,1,5.05,5,4.43,14,65%,20,0.6,2,1.35,3,16.30%,13,6.40%,35
2017,NOR,2,4.93,1,5.11,7,69%,1,1.37,3,1.3,1,14.70%,2,4.00%,20
2017,NYG,15,4.06,18,4.02,29,50%,18,0.68,24,1.02,6,17.30%,10,5.80%,34
2017,NYJ,29,3.4,21,3.96,31,48%,5,1.04,23,1.03,29,26.30%,27,8.60%,47
2017,OAK,11,4.17,11,4.14,21,62%,16,0.73,14,1.17,22,21.60%,7,4.60%,24
2017,PHI,22,3.85,4,4.52,16,64%,3,1.14,4,1.3,21,21.30%,12,6.20%,36
2017,PIT,7,4.36,16,4.07,12,65%,27,0.48,10,1.22,5,16.80%,1,3.90%,24
2017,SEA,31,3.18,32,3.3,27,55%,21,0.54,28,0.97,32,29.60%,25,8.10%,43
2017,SFO,10,4.2,12,4.14,20,62%,14,0.76,7,1.24,25,23.00%,18,6.80%,43
2017,TAM,16,4.06,29,3.53,12,65%,30,0.41,31,0.93,17,20.20%,16,6.50%,40
2017,TEN,23,3.85,19,4,23,60%,9,0.9,21,1.09,24,22.60%,14,6.40%,35
2017,WAS,21,3.86,26,3.65,27,55%,28,0.45,22,1.04,15,19.90%,24,7.70%,41
2016,ARI,7,4.54,14,4.28,5,72%,11,0.82,12,1.23,20,21.20%,21,6.30%,41
2016,ATL,10,4.4,7,4.66,17,61%,3,1.2,7,1.3,23,21.90%,23,6.50%,37
2016,BAL,20,4.07,17,4.02,9,70%,18,0.66,20,1.11,14,19.60%,8,5.30%,33
2016,BUF,16,4.16,1,5.12,20,60%,2,1.32,1,1.41,22,21.70%,31,9.30%,46
2016,CAR,25,3.83,23,3.9,3,73%,19,0.63,23,1.1,24,22.00%,19,6.20%,36
2016,CHI,8,4.48,3,4.69,1,75%,5,1.06,10,1.27,11,17.80%,7,4.90%,28
2016,CIN,14,4.2,21,3.91,19,61%,23,0.55,26,1.04,15,19.60%,26,7.30%,41
2016,CLE,28,3.73,2,4.82,7,71%,1,1.36,2,1.4,27,22.20%,32,10.60%,66
2016,DAL,4,4.63,4,4.68,3,73%,8,0.98,5,1.36,5,15.50%,13,5.60%,28
2016,DEN,18,4.09,27,3.78,29,51%,26,0.5,13,1.19,21,21.20%,27,7.40%,40
2016,DET,31,3.49,29,3.64,26,56%,27,0.47,21,1.1,29,22.60%,18,6.10%,37
2016,GNB,19,4.08,12,4.36,30,49%,9,0.94,15,1.15,17,20.30%,11,5.50%,35
2016,HOU,15,4.16,16,4.14,18,61%,20,0.61,16,1.14,6,15.60%,12,5.60%,32
2016,IND,2,4.69,24,3.83,15,63%,32,0.27,28,1.01,1,12.90%,28,7.60%,44
2016,JAX,27,3.73,26,3.8,24,58%,24,0.55,24,1.06,18,20.40%,9,5.30%,34
2016,KAN,17,4.1,22,3.91,21,60%,22,0.57,27,1.04,10,17.70%,14,5.70%,32
2016,LAR,29,3.66,31,3.23,16,61%,30,0.3,31,0.89,28,22.40%,29,8.10%,49
2016,MIA,22,3.97,8,4.59,28,52%,4,1.13,3,1.4,31,23.70%,21,6.30%,30
2016,MIN,30,3.64,32,3.15,31,47%,31,0.28,32,0.81,26,22.20%,17,6.00%,38
2016,NWE,9,4.46,18,3.99,22,59%,21,0.6,22,1.1,16,19.80%,6,4.60%,24
2016,NOR,1,4.93,9,4.53,9,70%,10,0.85,19,1.11,2,13.70%,5,4.50%,27
2016,NYG,24,3.89,28,3.7,14,63%,29,0.4,29,1.01,9,17.20%,2,3.90%,22
2016,NYJ,12,4.29,15,4.25,2,74%,16,0.67,11,1.23,7,16.40%,20,6.30%,35
2016,OAK,11,4.39,6,4.66,23,59%,7,1,8,1.29,8,16.70%,1,3.40%,18
2016,PHI,13,4.28,13,4.28,25,57%,17,0.67,6,1.36,12,18.40%,10,5.40%,33
2016,PIT,3,4.68,10,4.47,7,71%,25,0.52,4,1.4,4,15.50%,4,4.10%,21
2016,SDG,23,3.97,20,3.92,13,66%,12,0.76,30,1.01,19,21.20%,24,6.60%,36
2016,SEA,26,3.77,25,3.82,27,53%,15,0.7,18,1.12,30,22.90%,25,6.90%,42
