,age,attempts,fumbles,g,gs,longgain,playerid,playername,pos,tds,team,yards,yardsperatt,yardspergame,year
2013,24.0,11.0,8.0,16.0,1.0,12.0,HHakiAz00,Az-Zahir Hakim,,0.0,STL,50.0,4.5,3.1,2001.0
2019,26.0,35.0,2.0,8.0,0.0,16.0,HHallAn01,Andre Hall,,0.0,DEN,144.0,4.1,18.0,2008.0
2021,24.0,9.0,0.0,8.0,1.0,8.0,HHallCh00,Chad Hall,,0.0,PHI,29.0,3.2,3.6,2010.0
2027,23.0,23.0,0.0,16.0,0.0,15.0,HHallTi20,Tim Hall,,0.0,OAK,120.0,5.2,7.5,1997.0
2035,24.0,35.0,0.0,9.0,1.0,19.0,HHamiLy20,Lynell Hamilton,,2.0,NOR,125.0,3.6,13.9,2009.0
2044,26.0,13.0,1.0,6.0,4.0,24.0,HHaniCa00,Caleb Hanie,,0.0,CHI,98.0,7.5,16.3,2011.0
2045,23.0,136.0,1.0,12.0,4.0,15.0,HHansBy00,Byron Hanspard,,1.0,ATL,383.0,2.8,31.9,1999.0
2054,25.0,65.0,2.0,13.0,1.0,25.0,HHardMo00,Montario Hardesty,,1.0,CLE,271.0,4.2,20.8,2012.0
2059,23.0,19.0,0.0,10.0,0.0,13.0,HHarpJa01,Jamie Harper,,3.0,TEN,30.0,1.6,3.0,2012.0
2061,26.0,49.0,0.0,10.0,3.0,20.0,HHarrAr00,Arlen Harris,,1.0,DET,158.0,3.2,15.8,2006.0
2068,28.0,38.0,2.0,10.0,1.0,19.0,HHarrDu01,DuJuan Harris,,0.0,SFO,138.0,3.6,13.8,2016.0
2073,23.0,9.0,1.0,4.0,0.0,4.0,HHarrGi00,Gilbert Harris,,0.0,KAN,9.0,1.0,2.3,2007.0
2074,27.0,4.0,1.0,4.0,0.0,0.0,HHarrGr00,Graham Harrell,,0.0,GNB,-3.0,-0.8,-0.8,2012.0
2087,24.0,15.0,0.0,4.0,0.0,19.0,HHarrJo01,Joey Harris,,0.0,CAR,53.0,3.5,13.3,2004.0
2088,23.0,9.0,0.0,5.0,0.0,4.0,HHarrJo04,Josh Harris,,0.0,PIT,16.0,1.8,3.2,2014.0
2094,24.0,43.0,0.0,7.0,1.0,35.0,HHartMi00,Mike Hart ,,1.0,IND,185.0,4.3,26.4,2010.0
2096,23.0,2.0,0.0,7.0,0.0,2.0,HHartMy00,Myles Hartsfield,,0.0,CAR,2.0,1.0,0.3,2020.0
2124,24.0,20.0,0.0,5.0,0.0,20.0,HHastJa02,Jamycal Hasty,,0.0,SFO,103.0,5.2,20.6,2020.0
2132,24.0,32.0,0.0,14.0,0.0,21.0,HHaydAa00,Aaron Hayden,,1.0,GNB,148.0,4.6,10.6,1997.0
2135,27.0,17.0,3.0,8.0,1.0,11.0,HHaynJa00,Jarryd Hayne,,0.0,SFO,52.0,3.1,6.5,2015.0
2136,27.0,15.0,1.0,7.0,0.0,13.0,HHaynVe00,Verron Haynes,,0.0,PIT,78.0,5.2,11.1,2006.0
2151,28.0,9.0,0.0,15.0,0.0,8.0,HHebrVa00,Vaughn Hebron,,1.0,DEN,31.0,3.4,2.1,1998.0
2161,25.0,7.0,0.0,5.0,0.0,5.0,HHendDe01,De'Angelo Henderson,,0.0,DEN,13.0,1.9,2.6,2017.0
2169,23.0,88.0,1.0,11.0,3.0,22.0,HHenlJu00,June Henley,,3.0,STL,313.0,3.6,28.5,1998.0
2177,22.0,31.0,0.0,7.0,0.0,24.0,HHenrCh01,Chris Henry ,,2.0,TEN,119.0,3.8,17.0,2007.0
2183,26.0,46.0,1.0,6.0,2.0,53.0,HHenrLe20,Leonard Henry ,,0.0,MIA,141.0,3.1,23.5,2004.0
2193,26.0,25.0,1.0,10.0,0.0,8.0,HHerrDa00,Dan Herron,,0.0,2TM,79.0,3.2,7.9,2015.0
2196,24.0,37.0,2.0,16.0,0.0,19.0,HHerrNo00,Noah Herron,,1.0,GNB,150.0,4.1,9.4,2006.0
2215,29.0,21.0,3.0,16.0,0.0,18.0,HHickMa00,Maurice Hicks,,1.0,SFO,117.0,5.6,7.3,2007.0
2219,24.0,4.0,0.0,3.0,0.0,8.0,HHickMi20,Michael Hicks,,0.0,CHI,14.0,3.5,4.7,1997.0
2232,25.0,37.0,1.0,7.0,0.0,35.0,HHillBr02,Brian Hill,,1.0,ATL,164.0,4.4,23.4,2020.0
2236,25.0,9.0,0.0,4.0,0.0,19.0,HHillDo00,Dontrell Hilliard,,0.0,CLE,48.0,5.3,12.0,2020.0
2247,24.0,30.0,2.0,3.0,1.0,10.0,HHillJo03,Jon Hilliman,,0.0,NYG,91.0,3.0,30.3,2019.0
2248,22.0,58.0,0.0,16.0,0.0,18.0,HHillJu00,Justice Hill,,2.0,BAL,225.0,3.9,14.1,2019.0
2249,28.0,9.0,0.0,14.0,9.0,9.0,HHillLe00,Lex Hilliard,,0.0,2TM,33.0,3.7,2.4,2012.0
2252,24.0,9.0,0.0,8.0,0.0,10.0,HHillMi00,Michael Hill,,0.0,2TM,23.0,2.6,2.9,2013.0
2279,24.0,10.0,0.0,1.0,1.0,15.0,HHillWe00,Wes Hills,,2.0,DET,21.0,2.1,21.0,2019.0
2281,24.0,26.0,0.0,6.0,0.0,12.0,HHineNy00,Nyheim Hines,,1.0,IND,81.0,3.1,13.5,2020.0
2292,22.0,7.0,0.0,15.0,0.0,3.0,HHodgJa00,James Hodgins,,1.0,STL,10.0,1.4,0.7,1999.0
2293,25.0,10.0,1.0,4.0,1.0,11.0,HHogaKe00,Kevin Hogan ,,0.0,CLE,71.0,7.1,17.8,2017.0
2307,23.0,11.0,0.0,7.0,0.0,13.0,HHollTo00,Tony Hollings,,0.0,HOU,47.0,4.3,6.7,2004.0
2323,25.0,6.0,1.0,15.0,0.0,29.0,HHoltJo00,Johnny Holton,,0.0,OAK,43.0,7.2,2.9,2016.0
2324,22.0,18.0,0.0,6.0,0.0,12.0,HHomeTr00,Travis Homer,,0.0,SEA,68.0,3.8,11.3,2020.0
2340,24.0,113.0,0.0,8.0,1.0,31.0,HHousCe00,Cedric Houston,,5.0,NYJ,374.0,3.3,46.8,2006.0
2344,25.0,21.0,2.0,2.0,1.0,9.0,HHowaCh00,Chris Howard,,1.0,JAX,52.0,2.5,26.0,2000.0
2347,31.0,5.0,1.0,14.0,1.0,7.0,HHowaDe00,Desmond Howard ,,0.0,DET,25.0,5.0,1.8,2001.0
2353,23.0,5.0,0.0,16.0,0.0,4.0,HHoweGr00,Buddy Howell ,,0.0,HOU,10.0,2.0,0.6,2019.0
2365,24.0,5.0,2.0,5.0,4.0,10.0,HHuarBr00,Brock Huard,,0.0,SEA,29.0,5.8,5.8,2000.0
2370,24.0,4.0,0.0,3.0,0.0,7.0,HHuggKa00,Kareem Huggins,,0.0,TAM,11.0,2.8,3.7,2010.0
2371,25.0,7.0,0.0,16.0,4.0,5.0,HHughRo00,Robert Hughes,,0.0,ARI,11.0,1.6,0.7,2014.0
2378,24.0,8.0,0.0,15.0,0.0,11.0,HHuntAk01,Akeem Hunt,,0.0,KAN,23.0,2.9,1.5,2017.0
2381,26.0,15.0,4.0,11.0,0.0,9.0,HHuntEa00,Earnest Hunter,,0.0,2TM,44.0,2.9,4.0,1996.0
2383,22.0,3.0,0.0,3.0,0.0,10.0,HHuntJa01,Jason Huntley,,0.0,PHI,14.0,4.7,4.7,2020.0
2388,25.0,78.0,1.0,16.0,0.0,45.0,HHuntKe00,Kendall Hunter,,3.0,SFO,358.0,4.6,22.4,2013.0
2395,22.0,10.0,0.0,8.0,0.0,4.0,HHuntTo01,Tony Hunt,,1.0,PHI,16.0,1.6,2.0,2007.0
2396,22.0,9.0,2.0,6.0,0.0,20.0,HHurtJa00,Jalen Hurts ,,0.0,PHI,51.0,5.7,8.5,2020.0
2408,23.0,10.0,0.0,16.0,4.0,4.0,IIngoAl01,Alec Ingold,,0.0,OAK,17.0,1.7,1.1,2019.0
2419,24.0,15.0,0.0,2.0,0.0,15.0,IIoseJo00,Joey Iosefa,,0.0,NWE,51.0,3.4,25.5,2015.0
2420,22.0,9.0,1.0,6.0,0.0,32.0,IIrviSe00,Sedrick Irvin,,0.0,DET,49.0,5.4,8.2,2000.0
2443,21.0,4.0,0.0,12.0,1.0,14.0,JJackCh00,Chad Jackson,,0.0,NWE,22.0,5.5,1.8,2006.0
2444,25.0,6.0,0.0,4.0,0.0,4.0,JJackDa01,Darius Jackson,,0.0,2TM,16.0,2.7,4.0,2018.0
2450,23.0,10.0,0.0,3.0,1.0,7.0,JJackDo01,Don Jackson,,0.0,GNB,32.0,3.2,10.7,2016.0
2464,24.0,5.0,2.0,1.0,0.0,4.0,JJackJa01,Jarious Jackson,,0.0,DEN,7.0,1.4,7.0,2001.0
2491,28.0,26.0,3.0,16.0,0.0,13.0,JJackTe00,Terry Jackson,,0.0,SFO,101.0,3.9,6.3,2004.0
2517,23.0,46.0,1.0,10.0,0.0,11.0,JJameJa00,Javarris James,,6.0,IND,112.0,2.4,11.2,2010.0
2518,24.0,12.0,3.0,10.0,0.0,21.0,JJameLa00,LaMichael James,,0.0,SFO,59.0,4.9,5.9,2013.0
2520,23.0,19.0,0.0,11.0,0.0,9.0,JJameMi00,Mike James ,,0.0,TAM,37.0,1.9,3.4,2014.0
2526,23.0,8.0,3.0,16.0,0.0,4.0,JJenkRo00,Ronney Jenkins,,0.0,SDG,6.0,0.8,0.4,2000.0
2527,24.0,63.0,0.0,9.0,1.0,16.0,JJennCh00,Chris Jennings,,1.0,CLE,220.0,3.5,24.4,2009.0
2547,25.0,8.0,0.0,7.0,1.0,8.0,JJohnAu00,Austin Johnson,,0.0,NOR,22.0,2.8,3.1,2014.0
2548,27.0,4.0,1.0,11.0,2.0,5.0,JJohnBe00,Bethel Johnson ,,0.0,MIN,8.0,2.0,0.7,2006.0
2577,24.0,27.0,1.0,7.0,0.0,28.0,JJohnDE04,D'Ernest Johnson,,0.0,CLE,136.0,5.0,19.4,2020.0
2587,23.0,49.0,0.0,8.0,1.0,29.0,JJohnDe02,Dennis Johnson,,0.0,HOU,183.0,3.7,22.9,2013.0
2597,24.0,10.0,1.0,9.0,0.0,23.0,JJohnGa01,Gartrell Johnson,,0.0,ATL,36.0,3.6,4.0,2010.0
2602,24.0,9.0,0.0,4.0,0.0,12.0,JJohnJa02,James Johnson,,0.0,CIN,29.0,3.2,7.3,2008.0
2607,24.0,14.0,0.0,8.0,0.0,25.0,JJohnJe01,Jeremiah Johnson,,0.0,DEN,77.0,5.5,9.6,2011.0
2608,32.0,23.0,2.0,4.0,3.0,16.0,JJohnJo05,Josh Johnson,,1.0,WAS,120.0,5.2,30.0,2018.0
2625,28.0,103.0,3.0,16.0,4.0,23.0,JJohnLe00,Leon Johnson,,1.0,CHI,329.0,3.2,20.6,2002.0
2645,22.0,29.0,0.0,6.0,1.0,20.0,JJohnSt03,Storm Johnson,,2.0,JAX,86.0,3.0,14.3,2014.0
2646,23.0,3.0,0.0,4.0,0.0,34.0,JJohnTy02,Ty Johnson,,0.0,2TM,42.0,14.0,10.5,2020.0
2648,24.0,3.0,0.0,3.0,0.0,7.0,JJohnTy03,Tyron Johnson,,0.0,LAC,17.0,5.7,5.7,2020.0
2653,25.0,5.0,1.0,8.0,0.0,15.0,JJoneCa00,Calvin Jones,,0.0,OAK,19.0,3.8,2.4,1995.0
2663,26.0,8.0,0.0,6.0,0.0,9.0,JJoneGe00,George Jones,,0.0,CLE,15.0,1.9,2.5,1999.0
2684,28.0,8.0,1.0,3.0,1.0,0.0,JJoneLa02,Landry Jones,,0.0,PIT,-10.0,-1.3,-3.3,2017.0
2687,22.0,12.0,2.0,16.0,1.0,25.0,JJoneMa00,Matt Jones,,0.0,JAX,51.0,4.3,3.2,2005.0
2696,31.0,9.0,0.0,11.0,0.0,11.0,JJoneTa00,Taiwan Jones,,0.0,HOU,40.0,4.4,3.6,2019.0
2722,31.0,13.0,0.0,16.0,0.0,37.0,JJordRa00,Randy Jordan,,0.0,OAK,59.0,4.5,3.7,2001.0
2727,23.0,68.0,2.0,14.0,3.0,27.0,JJoseEl00,Elvis Joseph,,0.0,JAX,294.0,4.3,21.0,2001.0
2728,28.0,16.0,1.0,16.0,3.0,8.0,JJoseJa00,James Joseph,,0.0,CIN,40.0,2.5,2.5,1995.0
2729,24.0,8.0,2.0,8.0,0.0,19.0,JJourYo20,Yonel Jourdain,,0.0,BUF,31.0,3.9,3.9,1995.0
2730,25.0,11.0,1.0,16.0,0.0,8.0,JJoycDe00,Delvin Joyce ,,0.0,NYG,39.0,3.5,2.4,2003.0
2731,31.0,5.0,0.0,10.0,0.0,3.0,JJustPa00,Paul Justin,,0.0,STL,-1.0,-0.2,-0.1,1999.0
2750,27.0,12.0,0.0,7.0,0.0,14.0,KKariDe00,Deji Karim,,0.0,HOU,51.0,4.3,7.3,2013.0
2764,26.0,12.0,1.0,6.0,0.0,4.0,KKeatCu00,Curtis Keaton,,0.0,NOR,19.0,1.6,3.2,2002.0
2774,27.0,121.0,1.0,16.0,1.0,22.0,KKeitKe00,Kenton Keith,,3.0,IND,533.0,4.4,33.3,2007.0
2777,22.0,27.0,0.0,4.0,0.0,7.0,KKellJo00,John Kelly,,0.0,LAR,74.0,2.7,18.5,2018.0
2778,23.0,75.0,2.0,6.0,0.0,26.0,KKellJo01,Joshua Kelley,,1.0,LAC,232.0,3.1,38.7,2020.0
2790,24.0,4.0,0.0,1.0,0.0,7.0,KKincKe00,Keylon Kincade,,0.0,DAL,9.0,2.3,9.0,2006.0
2791,26.0,4.0,8.0,16.0,1.0,15.0,KKincTo00,Todd Kinchen,,0.0,STL,16.0,4.0,1.0,1995.0
2819,23.0,8.0,0.0,7.0,4.0,7.0,KKittKu00,Kurt Kittner,,0.0,ATL,13.0,1.6,1.9,2003.0
2824,27.0,4.0,1.0,1.0,0.0,14.0,KKlinDa00,David Klingler,,0.0,OAK,36.0,9.0,36.0,1996.0
2833,32.0,7.0,3.0,9.0,2.0,14.0,KKosaBe00,Bernie Kosar,,1.0,MIA,19.0,2.7,2.1,1995.0
2861,24.0,62.0,0.0,15.0,4.0,18.0,LLairPa00,Patrick Laird,,1.0,MIA,168.0,2.7,11.2,2019.0
2866,23.0,5.0,0.0,15.0,0.0,6.0,LLaneEr20,Eric Lane,,0.0,NYG,13.0,2.6,0.9,1997.0
2871,27.0,9.0,0.0,1.0,0.0,7.0,LLangJe00,Jeremy Langford,,0.0,ATL,25.0,2.8,25.0,2018.0
2875,24.0,11.0,0.0,7.0,0.0,6.0,LLascDa00,Daniel Lasco,,0.0,NOR,32.0,2.9,4.6,2016.0
2883,27.0,44.0,3.0,14.0,2.0,38.0,LLeexAm00,Amp Lee ,,2.0,STL,175.0,4.0,12.5,1998.0
2888,26.0,21.0,1.0,16.0,3.0,13.0,LLeexRe00,ReShard Lee ,,2.0,OAK,72.0,3.4,4.5,2006.0
2922,26.0,25.0,0.0,12.0,0.0,21.0,LLevyCh00,Chuck Levy,,1.0,SFO,112.0,4.5,9.3,1998.0
2944,27.0,8.0,1.0,5.0,0.0,19.0,LLewiJe01,Jeff Lewis,,0.0,CAR,36.0,4.5,7.2,2000.0
2971,30.0,9.0,6.0,16.0,1.0,16.0,LLogaSt00,Stefan Logan,,0.0,DET,32.0,3.6,2.0,2011.0
2994,28.0,9.0,1.0,5.0,0.0,22.0,LLumpKr00,Kregg Lumpkin,,0.0,NYG,42.0,4.7,8.4,2012.0
3009,23.0,5.0,2.0,2.0,2.0,11.0,LLyncPa00,Paxton Lynch ,,0.0,DEN,30.0,6.0,15.0,2017.0
3011,28.0,24.0,0.0,16.0,1.0,67.0,LLynnAn00,Anthony Lynn,,0.0,SFO,164.0,6.8,10.3,1996.0
3026,24.0,15.0,0.0,9.0,0.0,15.0,MMaduMo00,Mossis Madu,,0.0,TAM,55.0,3.7,6.1,2011.0
3027,26.0,4.0,4.0,12.0,1.0,11.0,MMaheRe00,Reno Mahe,,0.0,PHI,18.0,4.5,1.5,2006.0
3034,32.0,14.0,5.0,5.0,2.0,12.0,MMajkDo00,Don Majkowski,,0.0,DET,38.0,2.7,7.6,1996.0
3038,28.0,5.0,0.0,4.0,0.0,-1.0,MMallRy00,Ryan Mallett,,0.0,BAL,-6.0,-1.2,-1.5,2016.0
3073,27.0,6.0,1.0,3.0,1.0,0.0,MMannSe00,Sean Mannion,,0.0,MIN,-5.0,-0.8,-1.7,2019.0
3098,23.0,9.0,0.0,4.0,0.0,11.0,MMarsBy01,Byron Marshall,,0.0,WAS,32.0,3.6,8.0,2017.0
3126,25.0,5.0,3.0,2.0,0.0,8.0,MMartTe00,Tee Martin ,,0.0,OAK,28.0,5.6,14.0,2003.0
3127,25.0,32.0,0.0,10.0,0.0,20.0,MMasoMa00,Marcus Mason,,0.0,WAS,127.0,4.0,12.7,2009.0
3145,26.0,7.0,1.0,2.0,1.0,12.0,MMaucMa00,Matt Mauck,,0.0,TEN,39.0,5.6,19.5,2005.0
3149,30.0,18.0,0.0,14.0,0.0,14.0,MMcAfFr00,Fred McAfee,,0.0,PIT,111.0,6.2,7.9,1998.0
3161,29.0,5.0,0.0,2.0,1.0,18.0,MMcCaA.00,A.J. McCarron,,1.0,HOU,39.0,7.8,19.5,2019.0
3186,24.0,9.0,0.0,1.0,0.0,12.0,MMcCoEr00,Eric McCoo,,0.0,PHI,54.0,6.0,54.0,2004.0
3209,30.0,7.0,2.0,4.0,2.0,9.0,MMcCoLu00,Luke McCown,,0.0,JAX,23.0,3.3,5.8,2011.0
3214,24.0,17.0,0.0,9.0,0.0,12.0,MMcDoKe01,Kevin McDougal,,0.0,IND,48.0,2.8,5.3,2001.0
3215,24.0,8.0,1.0,2.0,1.0,15.0,MMcElGr00,Greg McElroy,,0.0,NYJ,30.0,3.8,15.0,2012.0
3218,21.0,13.0,0.0,4.0,0.0,20.0,MMcFaAn00,Anthony McFarland Jr.,,0.0,PIT,56.0,4.3,14.0,2020.0
3228,24.0,6.0,2.0,14.0,0.0,22.0,MMcGaWa00,Wane McGarity,,1.0,DAL,49.0,8.2,3.5,2000.0
3239,25.0,13.0,1.0,2.0,1.0,14.0,MMcGeSt00,Stephen McGee,,0.0,DAL,74.0,5.7,37.0,2010.0
3241,24.0,92.0,2.0,8.0,3.0,34.0,MMcGuEl00,Elijah McGuire ,,3.0,NYJ,276.0,3.0,34.5,2018.0
3243,30.0,5.0,0.0,15.0,4.0,25.0,MMcInCo00,Corey McIntyre,,0.0,BUF,34.0,6.8,2.3,2009.0
3260,24.0,30.0,3.0,15.0,0.0,61.0,MMcKnJo00,Joe McKnight ,,0.0,NYJ,179.0,6.0,11.9,2012.0
3263,37.0,4.0,1.0,5.0,0.0,2.0,MMcMaJi00,Jim McMahon ,,0.0,GNB,-1.0,-0.3,-0.2,1996.0
3296,25.0,17.0,0.0,6.0,0.0,20.0,MMcNiJe00,Jeremy McNichols ,,0.0,TEN,88.0,5.2,14.7,2020.0
3299,25.0,17.0,1.0,14.0,1.0,71.0,MMcPhJe00,Jerris McPhail,,1.0,MIA,146.0,8.6,10.4,1997.0
3302,25.0,11.0,0.0,3.0,1.0,18.0,MMealRo00,Rondell Mealey,,1.0,GNB,36.0,3.3,12.0,2002.0
3309,32.0,7.0,0.0,2.0,0.0,18.0,MMeggDa00,Dave Meggett,,0.0,NYJ,24.0,3.4,12.0,1998.0
3321,26.0,148.0,2.0,15.0,7.0,42.0,MMichCh00,Christine Michael ,,7.0,2TM,583.0,3.9,38.9,2016.0
3328,28.0,16.0,4.0,16.0,1.0,49.0,MMilbGl00,Glyn Milburn,,1.0,CHI,102.0,6.4,6.4,1999.0
3330,24.0,6.0,1.0,15.0,4.0,9.0,MMillAn02,Anthony Miller,,0.0,CHI,26.0,4.3,1.7,2018.0
3331,25.0,5.0,0.0,12.0,1.0,12.0,MMillBr01,Brit Miller,,0.0,STL,14.0,2.8,1.2,2011.0
3353,29.0,13.0,1.0,13.0,0.0,13.0,MMinoTr00,Travis Minor,,0.0,STL,29.0,2.2,2.2,2008.0
3368,24.0,29.0,2.0,16.0,2.0,15.0,MMitcBa00,Basil Mitchell ,,0.0,GNB,117.0,4.0,7.3,1999.0
3369,33.0,7.0,3.0,16.0,0.0,11.0,MMitcBr00,Brian Mitchell ,,0.0,PHI,9.0,1.3,0.6,2001.0
3385,25.0,9.0,0.0,9.0,1.0,7.0,MMizzTa00,Taquan Mizzell,,0.0,CHI,16.0,1.8,1.8,2018.0
3386,27.0,101.0,3.0,14.0,2.0,17.0,MMoatRy00,Ryan Moats,,4.0,HOU,390.0,3.9,27.9,2009.0
3398,26.0,5.0,0.0,2.0,0.0,8.0,MMoonCo00,Collin Mooney,,0.0,TEN,19.0,3.8,9.5,2012.0
3426,27.0,81.0,0.0,13.0,4.0,27.0,MMoorRo01,Ronald Moore,,1.0,2TM,278.0,3.4,21.4,1997.0
3428,25.0,8.0,1.0,3.0,1.0,14.0,MMoreFr00,Frank Moreau,,1.0,JAX,27.0,3.4,9.0,2001.0
3436,25.0,5.0,3.0,6.0,2.0,13.0,MMoreMo00,Moses Moreno,,0.0,SDG,20.0,4.0,3.3,2000.0
3437,27.0,29.0,1.0,13.0,0.0,15.0,MMoreVe00,Vernand Morency,,0.0,GNB,108.0,3.7,8.3,2007.0
3453,28.0,12.0,1.0,16.0,2.0,15.0,MMorrHa00,Harold Morrow,,0.0,MIN,67.0,5.6,4.2,2001.0
3475,26.0,48.0,1.0,15.0,2.0,27.0,MMortCh00,Chad Morton,,0.0,WAS,216.0,4.5,14.4,2003.0
3482,23.0,22.0,0.0,4.0,0.0,18.0,MMossBr20,Brent Moss,,0.0,STL,90.0,4.1,22.5,1995.0
3491,23.0,29.0,0.0,4.0,0.0,26.0,MMossZa00,Zack Moss ,,0.0,BUF,105.0,3.6,26.3,2020.0
3504,27.0,7.0,0.0,12.0,0.0,7.0,MMungJa00,James Mungro,,0.0,IND,15.0,2.1,1.3,2005.0
3510,27.0,52.0,1.0,11.0,1.0,30.0,MMurpMa03,Marcus Murphy,,0.0,BUF,250.0,4.8,22.7,2018.0
3512,26.0,23.0,0.0,5.0,0.0,14.0,MMurpRi00,Richard Murphy,,0.0,JAX,92.0,4.0,18.4,2012.0
3536,29.0,12.0,3.0,6.0,1.0,6.0,MMusgBi00,Bill Musgrave,,0.0,DEN,-4.0,-0.3,-0.7,1996.0
3538,22.0,36.0,0.0,12.0,0.0,11.0,NNancDi00,Dimitri Nance,,0.0,GNB,95.0,2.6,7.9,2010.0
3539,24.0,18.0,0.0,3.0,0.0,26.0,NNashDa00,Damien Nash,,0.0,DEN,66.0,3.7,22.0,2006.0
3553,24.0,11.0,0.0,9.0,0.0,16.0,NNewsDe00,Detrez Newsome,,0.0,LAC,49.0,4.5,5.4,2018.0
3571,28.0,24.0,0.0,9.0,0.0,10.0,NNorwJe00,Jerious Norwood,,0.0,STL,61.0,2.5,6.8,2011.0
3576,24.0,5.0,3.0,4.0,4.0,3.0,NNullKe00,Keith Null,,0.0,STL,6.0,1.2,1.5,2009.0
3577,27.0,8.0,1.0,3.0,1.0,15.0,NNussDo00,Doug Nussmeier,,0.0,NOR,30.0,3.8,10.0,1997.0
3591,25.0,11.0,2.0,16.0,0.0,12.0,OOgunDa00,Dare Ogunbowale,,2.0,TAM,17.0,1.5,1.1,2019.0
3598,26.0,8.0,2.0,14.0,0.0,10.0,OOlivWi00,Winslow Oliver,,0.0,ATL,32.0,4.0,2.3,1999.0
3600,23.0,22.0,1.0,8.0,0.0,6.0,OOlliQa00,Qadree Ollison,,4.0,ATL,50.0,2.3,6.3,2019.0
3601,24.0,5.0,0.0,5.0,0.0,7.0,OOmonXa00,Xavier Omon,,0.0,BUF,22.0,4.4,4.4,2009.0
3617,28.0,42.0,0.0,13.0,4.0,32.0,OOwenMo01,Montell Owens,,1.0,JAX,209.0,5.0,16.1,2012.0
3625,23.0,9.0,0.0,10.0,0.0,9.0,OOzigDe01,Devine Ozigbo,,0.0,JAX,27.0,3.0,2.7,2019.0
3627,28.0,5.0,1.0,6.0,4.0,12.0,PPalkTy00,Tyler Palko,,0.0,KAN,15.0,3.0,2.5,2011.0
3642,26.0,10.0,2.0,16.0,0.0,15.0,PPalmDa00,David Palmer,,0.0,MIN,52.0,5.2,3.3,1998.0
3645,24.0,18.0,0.0,8.0,0.0,24.0,PParkDe00,De'Mond Parker,,0.0,GNB,85.0,4.7,10.6,2000.0
3659,27.0,40.0,0.0,11.0,2.0,28.0,PParmJa00,Jalen Parmele,,0.0,JAX,143.0,3.6,13.0,2012.0
3661,29.0,6.0,1.0,3.0,0.0,6.0,PPassPa00,Patrick Pass,,0.0,NWE,21.0,3.5,7.0,2006.0
3674,25.0,33.0,0.0,13.0,0.0,15.0,PPaytJa00,Jarrett Payton,,2.0,TEN,105.0,3.2,8.1,2005.0
3675,27.0,8.0,0.0,3.0,0.0,4.0,PPeadIs00,Isaiah Pead,,0.0,MIA,22.0,2.8,7.3,2016.0
3678,24.0,19.0,2.0,13.0,0.0,12.0,PPearAl00,Alvin Pearman,,1.0,JAX,89.0,4.7,6.8,2006.0
3684,30.0,6.0,0.0,6.0,0.0,4.0,PPeerCe00,Cedric Peerman,,0.0,CIN,15.0,2.5,2.5,2016.0
3703,26.0,15.0,0.0,16.0,1.0,6.0,PPennEl00,Elijhaa Penny,,0.0,NYG,39.0,2.6,2.4,2019.0
3706,23.0,65.0,1.0,10.0,0.0,58.0,PPennRa00,Rashaad Penny,,3.0,SEA,370.0,5.7,37.0,2019.0
3708,22.0,33.0,0.0,6.0,0.0,20.0,PPeriLa00,La'Mical Perine ,,1.0,NYJ,122.0,3.7,20.3,2020.0
3713,25.0,12.0,0.0,4.0,0.0,13.0,PPerkPa00,Paul Perkins ,,0.0,DET,29.0,2.4,7.3,2019.0
3717,24.0,16.0,0.0,2.0,1.0,11.0,PPerrBr01,Bruce Perry ,,0.0,PHI,74.0,4.6,37.0,2005.0
3721,26.0,8.0,0.0,16.0,0.0,12.0,PPerrSe00,Senorise Perry ,,0.0,MIA,30.0,3.8,1.9,2017.0
3722,24.0,48.0,0.0,7.0,3.0,22.0,PPerrWi00,Wilmont Perry ,,0.0,NOR,180.0,3.8,25.7,1999.0
3746,24.0,10.0,0.0,4.0,2.0,24.0,PPeteNa00,Nathan Peterman ,,1.0,BUF,50.0,5.0,12.5,2018.0
3748,26.0,7.0,1.0,4.0,3.0,24.0,PPettBr01,Bryce Petty,,0.0,NYJ,55.0,7.9,13.8,2017.0
3750,26.0,14.0,1.0,8.0,0.0,7.0,PPhilBo20,Bobby Phillips,,0.0,MIN,26.0,1.9,3.3,1995.0
3751,26.0,12.0,0.0,9.0,0.0,8.0,PPhilDi00,Dino Philyaw,,1.0,CAR,38.0,3.2,4.2,1996.0
3755,25.0,13.0,3.0,5.0,2.0,12.0,PPickCo00,Cody Pickett,,0.0,SFO,42.0,3.2,8.4,2005.0
3760,26.0,4.0,0.0,3.0,0.0,15.0,PPinnAn00,Andrew Pinnock,,0.0,SDG,25.0,6.3,8.3,2006.0
3762,28.0,43.0,1.0,12.0,1.0,21.0,PPinnAr00,Artose Pinner,,3.0,MIN,190.0,4.4,15.8,2006.0
3793,26.0,99.0,0.0,15.0,2.0,20.0,PPolkCh00,Chris Polk,,1.0,HOU,334.0,3.4,22.3,2015.0
3801,24.0,17.0,0.0,5.0,1.0,24.0,PPopeP.20,P.J. Pope,,0.0,DEN,130.0,7.6,26.0,2008.0
3802,26.0,10.0,1.0,14.0,0.0,8.0,PPopeTr00,Troymaine Pope,,0.0,LAC,20.0,2.0,1.4,2019.0
3824,25.0,14.0,0.0,3.0,0.0,15.0,PPoweRi20,Ricky Powers,,0.0,CLE,51.0,3.6,17.0,1995.0
