,age,attempts,fumbles,g,gs,longgain,playerid,playername,pos,tds,team,yards,yardsperatt,yardspergame,year
505,33.0,8.0,4.0,16.0,3.0,6.0,BBoumTo00,Todd Bouman,,0.0,NOR,15.0,1.9,0.9,2005.0
508,27.0,18.0,0.0,3.0,0.0,21.0,BBoweRJ00,R.J. Bowers,,1.0,PIT,84.0,4.7,28.0,2001.0
513,23.0,8.0,1.0,5.0,0.0,11.0,BBoykTr00,Trevone Boykin,,0.0,SEA,1.0,0.1,0.2,2016.0
514,26.0,7.0,1.0,5.0,0.0,0.0,BBoylTi00,Tim Boyle,,0.0,GNB,-5.0,-0.7,-1.0,2020.0
525,23.0,5.0,0.0,1.0,0.0,4.0,BBradAl00,Allen Bradford,,0.0,TAM,13.0,2.6,13.0,2011.0
526,26.0,32.0,0.0,10.0,1.0,17.0,BBradFr00,Freddie Bradley,,0.0,SDG,109.0,3.4,10.9,1996.0
554,25.0,10.0,0.0,1.0,0.0,9.0,BBranJa00,Jamaal Branch,,0.0,NOR,29.0,2.9,29.0,2006.0
555,24.0,4.0,0.0,2.0,0.0,5.0,BBratJa20,Jason Bratton,,0.0,BUF,8.0,2.0,4.0,1996.0
584,27.0,39.0,1.0,10.0,1.0,13.0,BBrinCu00,Curtis Brinkley,,0.0,SDG,115.0,2.9,11.5,2012.0
595,26.0,4.0,3.0,5.0,0.0,10.0,BBrohJe00,Jeff Brohm,,0.0,SFO,11.0,2.8,2.2,1997.0
605,25.0,112.0,1.0,11.0,4.0,56.0,BBrooRe00,Reggie Brooks,,2.0,TAM,368.0,3.3,33.5,1996.0
608,25.0,8.0,0.0,3.0,0.0,8.0,BBrooTo01,Tony Brooks-James,,0.0,PIT,7.0,0.9,2.3,2019.0
609,31.0,5.0,1.0,15.0,0.0,3.0,BBrouSt00,Steve Broussard,,0.0,SEA,4.0,0.8,0.3,1998.0
613,25.0,17.0,0.0,6.0,0.0,9.0,BBrowAa00,Aaron Brown,,0.0,DET,58.0,3.4,9.7,2010.0
620,24.0,25.0,0.0,3.0,0.0,18.0,BBrowBr02,Bryce Brown,,1.0,SEA,72.0,2.9,24.0,2015.0
634,25.0,13.0,0.0,11.0,0.0,12.0,BBrowDe01,Derek Brown,,0.0,NOR,30.0,2.3,2.7,1996.0
636,28.0,10.0,1.0,15.0,0.0,7.0,BBrowDe02,Dee Brown,,0.0,KAN,24.0,2.4,1.6,2006.0
650,26.0,8.0,0.0,4.0,0.0,11.0,BBrowMa02,Mack Brown,,0.0,2TM,29.0,3.6,7.3,2017.0
652,27.0,65.0,0.0,7.0,0.0,19.0,BBrowMa03,Malcolm Brown ,,3.0,LAR,274.0,4.2,39.1,2020.0
710,25.0,21.0,1.0,16.0,0.0,13.0,BBuckEl00,Eldra Buckley,,0.0,PHI,67.0,3.2,4.2,2010.0
720,30.0,39.0,0.0,6.0,0.0,18.0,BBurkRe00,Rex Burkhead ,,2.0,NWE,154.0,3.9,25.7,2020.0
730,25.0,20.0,0.0,16.0,0.0,21.0,BBurnJo00,Joe Burns,,0.0,BUF,73.0,3.7,4.6,2004.0
733,27.0,15.0,4.0,6.0,1.0,17.0,BBurrHe00,Henry Burris,,0.0,CHI,104.0,6.9,17.3,2002.0
753,29.0,71.0,0.0,12.0,2.0,9.0,BButtMa00,Marion Butts,,4.0,HOU,185.0,2.6,15.4,1995.0
764,29.0,11.0,0.0,1.0,0.0,5.0,CCadeTr00,Travaris Cadet,,0.0,CAR,17.0,1.5,17.0,2018.0
768,23.0,5.0,0.0,7.0,4.0,26.0,CCaldAn00,Andre Caldwell,,0.0,CIN,53.0,10.6,7.6,2008.0
771,23.0,7.0,0.0,4.0,0.0,17.0,CCalhBr00,Brian Calhoun,,0.0,DET,35.0,5.0,8.8,2007.0
782,26.0,5.0,4.0,13.0,0.0,19.0,CCampMi02,Michael Campanaro,,0.0,BAL,42.0,8.4,3.2,2017.0
788,26.0,6.0,0.0,5.0,0.0,10.0,CCannTr00,Trenton Cannon,,0.0,CAR,18.0,3.0,3.6,2020.0
790,24.0,32.0,0.0,12.0,0.0,24.0,CCareKa00,Ka'Deem Carey,,0.0,CHI,126.0,3.9,10.5,2016.0
813,27.0,18.0,0.0,3.0,1.0,12.0,CCarsTr01,Tra Carson,,0.0,2TM,48.0,2.7,16.0,2019.0
814,29.0,19.0,5.0,16.0,0.0,18.0,CCartDe00,Dexter Carter ,,1.0,SFO,66.0,3.5,4.1,1996.0
816,25.0,32.0,1.0,10.0,0.0,20.0,CCartDe01,Delone Carter ,,3.0,IND,122.0,3.8,12.2,2012.0
828,24.0,13.0,1.0,6.0,0.0,7.0,CCartRa00,Ran Carthon,,1.0,IND,18.0,1.4,3.0,2005.0
829,31.0,9.0,0.0,16.0,0.0,10.0,CCartRo01,Rock Cartwright,,0.0,OAK,22.0,2.4,1.4,2010.0
835,26.0,6.0,0.0,15.0,1.0,22.0,CCartTi00,Tim Carter ,,0.0,NYG,46.0,7.7,3.1,2005.0
844,29.0,4.0,1.0,7.0,0.0,4.0,CCasoAv00,Aveion Cason,,0.0,DET,7.0,1.8,1.0,2008.0
860,26.0,5.0,0.0,10.0,4.0,3.0,CCastTi20,Tim Castille,,0.0,KAN,3.0,0.6,0.3,2010.0
884,28.0,42.0,0.0,4.0,3.0,14.0,CChanRo20,Robert Chancey,,2.0,SDG,141.0,3.4,35.3,2000.0
887,26.0,15.0,0.0,4.0,0.0,6.0,CChapDo00,Doug Chapman,,0.0,MIN,33.0,2.2,8.3,2003.0
901,26.0,8.0,0.0,16.0,3.0,11.0,CChatAn00,Antonio Chatman,,0.0,GNB,34.0,4.3,2.1,2005.0
907,29.0,46.0,0.0,15.0,0.0,20.0,CChoiTa00,Tashard Choice,,0.0,2TM,170.0,3.7,11.3,2013.0
920,23.0,16.0,1.0,11.0,0.0,10.0,CChriRy20,Ryan Christopherson,,1.0,JAX,16.0,1.0,1.5,1995.0
928,23.0,10.0,0.0,2.0,0.0,10.0,CClayJo00,John Clay,,1.0,PIT,41.0,4.1,20.5,2011.0
935,27.0,8.0,0.0,3.0,0.0,4.0,CClayTh00,Thomas Clayton,,0.0,CLE,12.0,1.5,4.0,2011.0
937,26.0,13.0,0.0,7.0,0.0,7.0,CClemCo00,Corey Clement,,0.0,PHI,39.0,3.0,5.6,2020.0
945,30.0,24.0,0.0,7.0,0.0,15.0,CClouMi00,Mike Cloud ,,0.0,2TM,59.0,2.5,8.4,2005.0
952,23.0,22.0,1.0,3.0,0.0,13.0,CCobbCe00,Cedric Cobbs,,0.0,NWE,50.0,2.3,16.7,2004.0
953,22.0,52.0,0.0,7.0,1.0,12.0,CCobbDa00,David Cobb,,1.0,TEN,146.0,2.8,20.9,2015.0
954,27.0,4.0,1.0,16.0,1.0,4.0,CCobbPa00,Patrick Cobbs,,0.0,MIA,0.0,0.0,0.0,2010.0
964,28.0,25.0,0.0,15.0,0.0,9.0,CCobbRe00,Reggie Cobb ,,1.0,NYJ,85.0,3.4,5.7,1996.0
966,24.0,10.0,0.0,7.0,0.0,19.0,CCoboAv00,Avon Cobourne,,0.0,DET,27.0,2.7,3.9,2003.0
