,Team,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY,Year
14,Falcons,555,336,60.5,6.4,3573,18,15.0,78.9,161.0,29.0,42,6,74,47,277.0,2007
15,Giants,544,302,55.5,6.2,3376,23,20.0,73.0,167.0,30.7,36,6,60,28,222.0,2007
16,Jaguars,469,288,61.4,7.5,3495,28,8.0,97.1,180.0,38.4,44,8,80,31,167.0,2007
17,Jets,512,310,60.5,6.5,3330,15,19.0,73.9,173.0,33.8,38,7,57,53,316.0,2007
18,Lions,587,368,62.7,7.2,4216,19,22.0,79.4,203.0,34.6,47,8,91,54,338.0,2007
19,Packers,578,383,66.3,7.7,4461,30,15.0,95.9,210.0,36.3,52,17,82,19,127.0,2007
20,Panthers,505,285,56.4,5.8,2941,19,17.0,71.9,142.0,28.1,28,9,74,33,206.0,2007
21,Patriots,586,403,68.8,8.3,4859,50,9.0,116.0,243.0,41.5,57,15,69,21,128.0,2007
22,Raiders,451,260,57.6,6.4,2893,17,20.0,70.9,133.0,29.5,31,6,59,41,262.0,2007
23,Rams,574,333,58.0,6.2,3561,19,28.0,67.0,193.0,33.6,42,1,40,48,328.0,2007
24,Ravens,557,341,61.2,5.9,3308,13,14.0,75.2,175.0,31.4,23,5,79,39,273.0,2007
25,Redskins,525,319,60.8,6.9,3622,18,11.0,84.2,192.0,36.6,43,6,54,29,159.0,2007
26,Saints,652,440,67.5,6.8,4423,28,18.0,89.4,232.0,35.6,47,8,58,16,109.0,2007
27,Seahawks,590,371,62.9,7.1,4181,30,13.0,91.8,211.0,35.8,51,8,65,36,217.0,2007
28,Steelers,442,282,63.8,7.7,3418,34,14.0,99.9,179.0,40.5,43,7,83,47,347.0,2007
29,Texans,529,346,65.4,7.4,3925,24,21.0,86.1,190.0,35.9,40,10,77,22,174.0,2007
30,Titans,464,288,62.1,6.6,3077,9,17.0,72.6,171.0,36.9,28,7,73,30,199.0,2007
31,Vikings,432,249,57.6,6.8,2938,12,14.0,74.2,139.0,32.2,25,8,79,38,193.0,2007
0,49ers,509,309,60.7,7.3,3724,21,19.0,81.4,176.0,34.6,55,6,63,55,345.0,2008
1,Bears,528,304,57.6,6.1,3229,20,14.0,77.1,153.0,29.0,35,3,65,29,168.0,2008
2,Bengals,513,303,59.1,5.2,2677,11,15.0,68.0,145.0,28.3,21,2,79,51,271.0,2008
3,Bills,479,309,64.5,6.9,3302,14,15.0,81.3,167.0,34.9,38,6,87,38,262.0,2008
4,Broncos,620,386,62.3,7.3,4545,25,18.0,85.9,223.0,36.0,55,7,93,12,74.0,2008
5,Browns,488,238,48.8,5.2,2537,11,20.0,54.8,127.0,26.0,26,6,70,24,157.0,2008
6,Buccaneers,562,355,63.2,6.7,3788,18,13.0,83.8,184.0,32.7,42,5,71,32,169.0,2008
7,Cardinals,630,418,66.3,7.7,4875,31,15.0,96.1,231.0,36.7,54,13,79,28,201.0,2008
8,Chargers,478,312,65.3,8.4,4009,34,11.0,105.5,191.0,40.0,48,12,67,25,151.0,2008
9,Chiefs,541,310,57.3,6.2,3358,23,16.0,77.5,161.0,29.8,35,5,75,37,229.0,2008
10,Colts,585,393,67.2,7.1,4180,27,12.0,94.7,220.0,37.6,42,7,75,14,86.0,2008
11,Cowboys,547,328,60.0,7.3,3988,29,20.0,84.9,171.0,31.3,54,12,75,31,199.0,2008
12,Dolphins,491,330,67.2,7.7,3761,20,7.0,97.6,184.0,37.5,39,8,80,26,129.0,2008
13,Eagles,606,362,59.7,6.7,4060,23,16.0,81.4,204.0,33.7,52,11,90,23,149.0,2008
14,Falcons,434,265,61.1,7.9,3440,16,11.0,87.7,157.0,36.2,45,9,70,17,104.0,2008
15,Giants,491,298,60.7,6.8,3353,23,10.0,88.2,176.0,35.8,34,4,48,28,176.0,2008
16,Jaguars,537,335,62.4,6.7,3620,15,13.0,81.4,183.0,34.1,42,1,41,42,288.0,2008
17,Jets,529,347,65.6,6.6,3516,22,23.0,80.2,186.0,35.2,40,7,56,30,213.0,2008
18,Lions,509,281,55.2,6.5,3299,18,19.0,71.3,143.0,28.1,43,7,96,52,339.0,2008
19,Packers,541,343,63.4,7.5,4044,28,13.0,93.3,182.0,33.6,48,16,71,34,231.0,2008
20,Panthers,414,246,59.4,7.9,3288,15,12.0,84.7,152.0,36.7,45,9,65,20,130.0,2008
21,Patriots,534,339,63.5,7.1,3790,21,11.0,89.1,186.0,34.8,38,6,76,48,221.0,2008
22,Raiders,421,222,52.7,6.3,2639,13,11.0,71.6,123.0,29.2,39,5,84,39,270.0,2008
23,Rams,520,292,56.2,6.3,3268,11,19.0,66.9,140.0,26.9,41,8,80,45,321.0,2008
24,Ravens,433,261,60.3,7.1,3085,16,12.0,82.8,147.0,33.9,40,11,70,33,277.0,2008
25,Redskins,510,318,62.4,6.5,3291,14,6.0,85.2,165.0,32.4,34,3,67,38,266.0,2008
26,Saints,636,413,64.9,8.0,5069,34,18.0,95.4,232.0,36.5,66,16,84,13,92.0,2008
27,Seahawks,474,262,55.3,6.0,2831,18,15.0,72.5,142.0,30.0,29,5,90,36,214.0,2008
28,Steelers,506,303,59.9,7.1,3607,19,15.0,81.9,179.0,35.4,39,8,65,49,306.0,2008
29,Texans,555,367,66.1,8.1,4474,21,20.0,88.4,210.0,37.8,60,12,65,32,207.0,2008
30,Titans,453,265,58.5,6.4,2902,13,9.0,78.8,143.0,31.6,36,5,56,12,83.0,2008
31,Vikings,452,267,59.1,7.1,3217,22,17.0,81.5,150.0,33.2,40,12,99,43,261.0,2008
0,49ers,528,312,59.1,6.2,3293,23,14.0,80.8,137.0,25.9,42,7,73,40,241.0,2009
1,Bears,563,340,60.4,6.5,3677,27,27.0,75.6,170.0,30.2,56,6,71,35,204.0,2009
2,Bengals,477,286,60.0,6.6,3134,21,13.0,82.7,159.0,33.3,36,5,73,29,244.0,2009
3,Bills,441,256,58.0,6.3,2789,17,19.0,71.7,126.0,28.6,31,6,98,46,274.0,2009
4,Broncos,558,341,61.1,6.9,3825,21,13.0,84.4,186.0,33.3,43,9,87,34,198.0,2009
5,Browns,443,219,49.4,5.1,2255,11,18.0,55.8,118.0,26.6,25,4,59,30,179.0,2009
6,Buccaneers,524,279,53.2,6.0,3134,18,29.0,59.8,148.0,28.2,40,4,47,33,161.0,2009
7,Cardinals,594,392,66.0,7.1,4200,27,18.0,89.1,215.0,36.2,49,3,45,26,184.0,2009
8,Chargers,519,338,65.1,8.7,4506,29,10.0,103.1,222.0,42.8,67,13,81,26,168.0,2009
9,Chiefs,536,296,55.2,5.9,3183,18,17.0,70.8,139.0,25.9,41,9,61,45,261.0,2009
10,Colts,601,402,66.9,7.7,4605,34,19.0,95.4,241.0,40.1,62,8,80,13,90.0,2009
11,Cowboys,550,347,63.1,8.2,4483,26,9.0,97.6,203.0,36.9,61,17,80,34,196.0,2009
12,Dolphins,545,331,60.7,6.2,3396,15,19.0,73.3,188.0,34.5,29,4,67,34,226.0,2009
13,Eagles,553,335,60.6,7.9,4380,27,13.0,92.0,182.0,32.9,65,21,71,38,291.0,2009
14,Falcons,570,332,58.2,6.5,3697,26,17.0,80.4,192.0,33.7,39,5,90,27,126.0,2009
15,Giants,542,338,62.4,7.8,4246,28,14.0,93.2,194.0,35.8,62,12,74,32,227.0,2009
16,Jaguars,519,315,60.7,6.9,3599,15,10.0,83.2,170.0,32.8,44,6,63,44,243.0,2009
17,Jets,393,210,53.4,6.6,2596,12,21.0,62.0,131.0,33.3,37,8,65,30,216.0,2009
18,Lions,585,316,54.0,5.9,3471,16,32.0,58.1,168.0,28.7,39,6,75,43,303.0,2009
19,Packers,553,357,64.6,8.1,4492,30,8.0,101.8,201.0,36.3,55,17,83,51,312.0,2009
20,Panthers,465,264,56.8,6.6,3070,16,20.0,70.5,152.0,32.7,39,10,66,33,271.0,2009
21,Patriots,592,390,65.9,7.7,4540,28,13.0,95.6,222.0,37.5,43,12,81,18,104.0,2009
22,Raiders,485,255,52.6,5.9,2875,10,18.0,62.0,131.0,27.0,30,4,86,49,318.0,2009
23,Rams,543,312,57.5,5.5,2970,12,21.0,64.0,159.0,29.3,32,2,50,44,284.0,2009
24,Ravens,510,321,62.9,7.1,3637,21,13.0,87.4,187.0,36.7,44,8,72,36,218.0,2009
